,composition,Formation Energy (eV/atom)
324,Ac2Er6S12,-2.12802
325,Ac2Er6Se12,-1.91441
326,AcEuTlHg,-0.476
327,AcEuHg2,-0.56003
328,AcEuIr,-0.47199
329,AcEuPd4,-0.79229
330,AcEuPt4,-0.99365
331,AcEuRh,-0.40019
332,AcEuRh4,-0.52695
333,AcEuZn2,-0.27025
334,Ac2Ge2F2,-2.45775
335,Ac2O2F2,-4.07479
336,Ac4P4F4,-2.73885
337,AcSF,-3.31909
338,Ac2Se2F2,-3.24162
339,Ac2Te2F2,-2.9443
340,Ac2F6,-4.51101
341,KAcF4,-4.0354
342,RbAcF4,-4.00781
343,Ac2Tl2F8,-3.64278
344,AcFeH6,-0.49143
345,Ac4Fe4O12,-2.07998
346,Ac2Fe2Si2,-0.44546
347,AcFe4Sb12,-0.18644
348,AcGaGe,-0.65581
349,Ac2Ga2I2,-1.05297
350,AcGaIr,-0.65627
351,Ac2Mg2Ga2,-0.38203
352,Ac2Ga2N2,-0.91504
353,AcGaNi2,-0.48226
354,Ac4Ga4O12,-2.78881
355,AcGaPd,-0.79793
356,Ac4Ga4Pd8,-0.8267
357,AcGaPt,-0.96024
358,Ac4Ga4Pt8,-0.98708
359,Ac4Ga4Rh4,-0.71644
360,Ac2Ga2Ru2,-0.50259
361,AcGaSi,-0.60897
362,AcGaSn,-0.60368
363,Ac2Ga4,-0.64001
364,AcGa2Hg2,-0.39339
365,Ac4In4Ga8,-0.51887
366,AcGa2Ir2,-0.61051
367,AcGa2Ir3,-0.60747
368,Ac4Mg4Ga8,-0.46831
369,AcMg4Ga2,-0.24991
370,Ac2Nd2Ga4,-0.52144
371,Ac2Ga4Pd4,-0.79779
372,Ac2Ga4Pt4,-0.9338
373,AcGa2Rh3,-0.79505
374,Ac2Ga6,-0.5263
375,Ac2Ga6Ni4,-0.5225
376,Ac2Ga6Pt2,-0.78327
377,Ac2Ga6Ru4,-0.47033
378,AcGa4,-0.4889
379,AcHoGa4,-0.62767
380,LiAcGa4,-0.46403
381,AcGa4Pd6,-0.72924
382,AcPmGa4,-0.65318
383,AcGa4Pt6,-0.75539
384,AcGa5Ir2,-0.51095
385,AcGa5Ni2,-0.48899
386,AcGa5Rh2,-0.59248
387,AcGa6Ir,-0.47548
388,AcGa6Ni,-0.40551
389,AcGa6Pd,-0.49428
390,AcGa6Pt,-0.52982
391,AcGa6Pt4,-0.7374
392,AcGa6Rh,-0.51286
393,AcGdIr,-0.49117
394,Ac2Ge2,-0.68453
395,AcGeIr,-0.72276
396,Li4Ac4Ge4,-0.56739
397,Ac2Mg2Ge2,-0.50999
398,Ac4Ge4N4,-0.77859
399,Ac4Ge4N8,-0.63959
400,NaAcGe,-0.37242
401,AcNi2Ge,-0.50704
402,AcGePd,-0.88931
403,Ac2Ge2Pd6,-0.75871
404,AcPmGe,-0.48014
405,AcGePt,-1.00301
406,Ac2Ge2Rh4,-0.66863
407,Ac2Ge2Ru2,-0.61757
408,Ac4Ge4S12,-1.25921
409,Ac2Si2Ge2,-0.59167
410,AcZnGe,-0.58959
411,AcGe12Pt4,-0.39772
412,AcGe2,-0.62964
413,Ac2Ge4Ir4,-0.66635
414,K4Ac4Ge8,-0.49329
415,Li4Ac4Ge8,-0.6167
416,Na4Ac4Ge8,-0.49549
