,composition,Formation Energy (eV/atom)
248,Ac2Cd4,-0.32583
249,AcEuCd2,-0.33603
250,Ac2Cd4In2,-0.33662
251,Ac4Mg4Cd8,-0.29862
252,Ac2Cd4Ni2,-0.29292
253,Ac2Cd4Pd2,-0.53551
254,AcCd2Pd4,-0.58137
255,Ac2Cd4Pt2,-0.60921
256,AcCd2Pt2,-0.693
257,Ac2Cd4Rh2,-0.45121
258,AcZn2Cd2,-0.28038
259,Ac2Cd6,-0.2943
260,AcMg8Cd4,-0.12292
261,Ac2Cd8Pt4,-0.52082
262,AcZn2Cd4,-0.21026
263,AcMg4Cd8,-0.15611
264,AcCeGa4,-0.61887
265,AcCeIr,-0.50774
266,Ac2Ir2Cl2,-1.53463
267,Ac2N2Cl2,-1.85328
268,Ac2Cl2O2,-3.60785
269,AcSeCl,-2.58014
270,Ac2Cl6,-2.91266
271,Cs3AcCl6,-2.54386
272,Rb6Ac2Cl12,-2.51504
273,Ac2Co2Ge4,-0.68074
274,AcCoGe3,-0.63226
275,AcCoH6,-0.43627
276,Ac2Co2N6,-0.63188
277,Ac2Co2Si2,-0.62105
278,Ac2Ga6Co4,-0.4654
279,AcGa5Co2,-0.45511
280,AcCo2Si2,-0.68269
281,Ac2Cr2P2O2,-1.97797
282,Ac4Cr4O12,-3.19478
283,Ac2Cr2O8,-2.87961
284,CsAcF4,-4.04949
285,CsAcO2,-2.86434
286,CsAcS2,-2.1122
287,Cs2Ac2Tb2Te6,-1.58565
288,CsAcTe2,-1.68338
289,Cs6Ac2I12,-1.76559
290,AcCuF6,-3.15756
291,AcGa6Cu,-0.34212
292,Ac3Cu3Ge3,-0.62932
293,Ac2Cu2I2,-0.91764
294,Ac2In8Cu2,-0.31999
295,Ac2Mg4Cu2,-0.1465
296,Ac2Cu2Ni2,-0.26763
297,Ac2Cu2P2O2,-1.96311
298,Ac3Cu3O6,-2.68974
299,Ac4Cu4O12,-2.48945
300,Ac4Cu4Pb4,-0.40723
301,Ac2Cu2Sb4Pd2,-0.7756
302,Ac2Cu2Sb4,-0.7444
303,AcCuSi,-0.53666
304,AcCuSn,-0.52965
305,AcCu2,-0.18195
306,Ac2Ga4Cu4,-0.42669
307,AcCu2Ge2,-0.55176
308,AcCu2P2,-0.7572
309,AcCu2Si2,-0.54183
310,Ac2Zn4Cu6,-0.24194
311,AcCu4F12,-2.46342
312,AcCu5,-0.15301
313,Ac2Dy2Hg2,-0.33243
314,Ac2Dy2Te6,-1.73856
315,Ac2Dy4S8,-2.4155
316,Ac2Dy4Se8,-2.21786
317,Ac2Dy6Se12,-2.21344
318,AcErGa4,-0.63002
319,Ac4Er4O12,-3.97771
320,Ac2Er2Te6,-1.73029
321,Ac2Er2Tl2,-0.32525
322,Ac2Er4S8,-2.42316
323,Ac2Er4Se8,-2.21021
324,Ac2Er6S12,-2.4215
325,Ac2Er6Se12,-2.2006
326,AcEuTlHg,-0.48626
327,AcEuHg2,-0.54132
328,AcEuIr,-0.44714
329,AcEuPd4,-0.74659
330,AcEuPt4,-0.96628
331,AcEuRh,-0.42597
332,AcEuRh4,-0.56681
333,AcEuZn2,-0.27086
334,Ac2Ge2F2,-2.40191
335,Ac2O2F2,-4.21978
336,Ac4P4F4,-2.72185
337,AcSF,-3.46941
338,Ac2Se2F2,-3.3867
339,Ac2Te2F2,-3.05743
340,Ac2F6,-4.57454
341,KAcF4,-4.08168
342,RbAcF4,-4.05735
343,Ac2Tl2F8,-3.67515
344,AcFeH6,-0.46603
345,Ac4Fe4O12,-2.88034
346,Ac2Fe2Si2,-0.49809
347,AcFe4Sb12,-0.38665
348,AcGaGe,-0.70961
349,Ac2Ga2I2,-1.1544
350,AcGaIr,-0.63828
351,Ac2Mg2Ga2,-0.39666
352,Ac2Ga2N2,-0.99712
353,AcGaNi2,-0.49791
354,Ac4Ga4O12,-3.14059
355,AcGaPd,-0.77656
356,Ac4Ga4Pd8,-0.81607
357,AcGaPt,-0.95736
358,Ac4Ga4Pt8,-0.98754
359,Ac4Ga4Rh4,-0.7249
360,Ac2Ga2Ru2,-0.5016
361,AcGaSi,-0.62023
362,AcGaSn,-0.6941
363,Ac2Ga4,-0.5989
364,AcGa2Hg2,-0.38988
365,Ac4In4Ga8,-0.5156
366,AcGa2Ir2,-0.6179
367,AcGa2Ir3,-0.62837
368,Ac4Mg4Ga8,-0.474
369,AcMg4Ga2,-0.26358
370,Ac2Nd2Ga4,-0.55232
371,Ac2Ga4Pd4,-0.80672
372,Ac2Ga4Pt4,-0.93294
373,AcGa2Rh3,-0.79438
374,Ac2Ga6,-0.52138
375,Ac2Ga6Ni4,-0.55758
376,Ac2Ga6Pt2,-0.75742
377,Ac2Ga6Ru4,-0.56642
378,AcGa4,-0.49481
379,AcHoGa4,-0.63309
380,LiAcGa4,-0.48049
381,AcGa4Pd6,-0.74578
382,AcPmGa4,-0.63568
383,AcGa4Pt6,-0.77836
384,AcGa5Ir2,-0.57678
385,AcGa5Ni2,-0.51322
386,AcGa5Rh2,-0.66639
387,AcGa6Ir,-0.48153
388,AcGa6Ni,-0.43052
389,AcGa6Pd,-0.49046
390,AcGa6Pt,-0.52552
391,AcGa6Pt4,-0.76188
392,AcGa6Rh,-0.53053
393,AcGdIr,-0.4855
394,Ac2Ge2,-0.77657
395,AcGeIr,-0.80656
396,Li4Ac4Ge4,-0.63557
397,Ac2Mg2Ge2,-0.60015
398,Ac4Ge4N4,-0.9785
399,Ac4Ge4N8,-0.87968
400,NaAcGe,-0.36756
401,AcNi2Ge,-0.59904
402,AcGePd,-0.92221
403,Ac2Ge2Pd6,-0.799
404,AcPmGe,-0.57112
405,AcGePt,-1.07296
406,Ac2Ge2Rh4,-0.83906
407,Ac2Ge2Ru2,-0.68811
408,Ac4Ge4S12,-1.6343
409,Ac2Si2Ge2,-0.67791
410,AcZnGe,-0.64849
411,AcGe12Pt4,-0.50497
412,AcGe2,-0.76095
413,Ac2Ge4Ir4,-0.77612
414,K4Ac4Ge8,-0.55239
415,Li4Ac4Ge8,-0.69538
416,Na4Ac4Ge8,-0.54965
417,AcNi2Ge2,-0.69148
418,Ac2Ge4Pd4,-0.87235
419,Ac2Ge4Pt2,-0.93411
420,Ac2Ge4Pt4,-0.95835
421,Ac2Ge4Rh2,-0.91011
422,AcGe2Rh2,-0.91868
423,AcGe2Ru2,-0.70913
424,Ac2Tc6Ge4,-0.35577
425,Ac2Zn4Ge4,-0.52336
