,composition,Formation Energy (eV/atom)
313,Ac2Dy2Hg2,-0.33534
314,Ac2Dy2Te6,-1.51315
315,Ac2Dy4S8,-2.12127
316,Ac2Dy4Se8,-1.91853
317,Ac2Dy6Se12,-1.93643
318,AcErGa4,-0.62398
319,Ac4Er4O12,-3.5519
320,Ac2Er2Te6,-1.50625
321,Ac2Er2Tl2,-0.2703
322,Ac2Er4S8,-2.11428
323,Ac2Er4Se8,-1.90462
324,Ac2Er6S12,-2.13643
325,Ac2Er6Se12,-1.92579
326,AcEuTlHg,-0.4738
327,AcEuHg2,-0.53429
328,AcEuIr,-0.45604
329,AcEuPd4,-0.75835
330,AcEuPt4,-1.01092
331,AcEuRh,-0.41072
332,AcEuRh4,-0.5305
333,AcEuZn2,-0.27107
334,Ac2Ge2F2,-2.31408
335,Ac2O2F2,-3.92743
336,Ac4P4F4,-2.5498
337,AcSF,-3.12668
338,Ac2Se2F2,-3.09274
339,Ac2Te2F2,-2.85317
340,Ac2F6,-4.3257
341,KAcF4,-3.85534
342,RbAcF4,-3.83589
343,Ac2Tl2F8,-3.48446
344,AcFeH6,-0.26505
345,Ac4Fe4O12,-1.9832
346,Ac2Fe2Si2,-0.4862
347,AcFe4Sb12,-0.22075
348,AcGaGe,-0.68369
349,Ac2Ga2I2,-1.08573
350,AcGaIr,-0.68437
351,Ac2Mg2Ga2,-0.39122
352,Ac2Ga2N2,-0.92269
353,AcGaNi2,-0.48367
354,Ac4Ga4O12,-2.7159
355,AcGaPd,-0.79939
356,Ac4Ga4Pd8,-0.84064
357,AcGaPt,-0.97752
358,Ac4Ga4Pt8,-1.04003
359,Ac4Ga4Rh4,-0.74519
360,Ac2Ga2Ru2,-0.46539
361,AcGaSi,-0.61989
362,AcGaSn,-0.64486
363,Ac2Ga4,-0.61926
364,AcGa2Hg2,-0.41783
365,Ac4In4Ga8,-0.50759
366,AcGa2Ir2,-0.69627
367,AcGa2Ir3,-0.6589
368,Ac4Mg4Ga8,-0.49052
369,AcMg4Ga2,-0.29328
370,Ac2Nd2Ga4,-0.54914
371,Ac2Ga4Pd4,-0.81648
372,Ac2Ga4Pt4,-0.9733
373,AcGa2Rh3,-0.81745
374,Ac2Ga6,-0.53878
375,Ac2Ga6Ni4,-0.52209
376,Ac2Ga6Pt2,-0.80978
377,Ac2Ga6Ru4,-0.45734
378,AcGa4,-0.47831
379,AcHoGa4,-0.63211
380,LiAcGa4,-0.46536
381,AcGa4Pd6,-0.75695
382,AcPmGa4,-0.66295
383,AcGa4Pt6,-0.79417
384,AcGa5Ir2,-0.57298
385,AcGa5Ni2,-0.51295
386,AcGa5Rh2,-0.64109
387,AcGa6Ir,-0.49533
388,AcGa6Ni,-0.44235
389,AcGa6Pd,-0.51786
390,AcGa6Pt,-0.56856
391,AcGa6Pt4,-0.77403
392,AcGa6Rh,-0.52662
393,AcGdIr,-0.51951
394,Ac2Ge2,-0.70415
395,AcGeIr,-0.75155
396,Li4Ac4Ge4,-0.61615
397,Ac2Mg2Ge2,-0.53803
398,Ac4Ge4N4,-0.85106
399,Ac4Ge4N8,-0.67278
400,NaAcGe,-0.40265
401,AcNi2Ge,-0.52662
402,AcGePd,-0.90031
403,Ac2Ge2Pd6,-0.79157
404,AcPmGe,-0.45283
405,AcGePt,-1.04056
406,Ac2Ge2Rh4,-0.75873
407,Ac2Ge2Ru2,-0.61587
408,Ac4Ge4S12,-1.29685
409,Ac2Si2Ge2,-0.59378
410,AcZnGe,-0.63293
411,AcGe12Pt4,-0.41827
412,AcGe2,-0.61702
413,Ac2Ge4Ir4,-0.74742
414,K4Ac4Ge8,-0.46289
415,Li4Ac4Ge8,-0.65162
416,Na4Ac4Ge8,-0.46596
417,AcNi2Ge2,-0.62328
418,Ac2Ge4Pd4,-0.82784
419,Ac2Ge4Pt2,-0.90979
420,Ac2Ge4Pt4,-0.94253
421,Ac2Ge4Rh2,-0.82236
422,AcGe2Rh2,-0.86493
423,AcGe2Ru2,-0.65399
424,Ac2Tc6Ge4,-0.33997
425,Ac2Zn4Ge4,-0.44712
426,Ac2Hf2Ge6,-0.66745
427,Ac2Nb2Ge6,-0.58703
428,AcNiGe3,-0.59025
429,Ac2Ta2Ge6,-0.53042
430,Ac2Tc2Ge6,-0.45607
431,Ac2Ti2Ge6,-0.66483
432,AcGe4Rh6,-0.73318
433,AcHO,-2.17859
434,Ac4H4O8,-2.55239
435,AcHS,-1.5195
436,AcHSe,-1.46861
437,AcTeH,-1.24525
438,AcH2,-0.55392
439,Ac2H4Pt2,-0.66719
440,AcH3,-0.54285
441,Ac2H6Pd6,-0.44971
442,Ac2H8Ir2,-0.53163
443,Ac2Ni2H8,-0.43753
444,Ac2H8Pd2,-0.41997
445,Ac2H8Rh2,-0.49254
446,AcH6Ir,-0.40234
447,AcH7Rh2,-0.31234
448,Ac2Hf2Pt2,-0.819
449,AcHg,-0.48255
450,Ac2In2Hg2,-0.49708
451,AcMgTlHg,-0.36714
452,NaAcHgPb,-0.43793
453,NaAcSnHg,-0.48913
454,Ac2Ni2Hg2,-0.39634
455,AcHgPd4,-0.62057
456,AcHgPt4,-0.74625
457,Ac2Hg2Rh2,-0.56217
458,Ac2Si2Hg2,-0.53658
459,AcHgTe2,-0.8418
460,Ac2Tl2Hg2,-0.44119
461,AcHg2,-0.47749
462,Ac2In2Hg4,-0.45606
463,AcMgHg2,-0.43861
464,AcMg5Hg2,-0.24501
465,NaAcHg2,-0.3948
466,Ac2Hg4Pd2,-0.59107
467,Ac2Hg4Rh2,-0.47492
468,AcSnHg2,-0.44597
469,SrAcHg2,-0.53201
470,AcYbHg2,-0.58429
471,Ac2Hg6,-0.42143
472,SrAcHg4,-0.48503
473,AcHg5,-0.29075
474,Ac4Ho4O12,-3.53332
475,AcHoOs,-0.06926
476,Ac2Ho2Te6,-1.50931
477,Ac2Ho4S8,-2.11781
478,Ac2Ho4Se8,-1.91157
479,Ac2Ho6S12,-2.13853
480,Ac2Ho6Se12,-1.93139
481,Ac2In2I2,-0.99996
482,Ac2Ir2I2,-1.12299
483,Ac2Ni2I2,-0.86666
484,Ac2I2O2,-2.80832
485,Ac2I2O8,-1.61563
486,AcIO6,-1.14896
487,Ac2Rh2I2,-1.08779
488,Ac2Tl2I2,-0.91518
