,composition,Formation Energy (eV/atom)
281,Ac2Cr2P2O2,-1.22067
282,Ac4Cr4O12,-2.40441
283,Ac2Cr2O8,-2.0731
284,CsAcF4,-3.87796
285,CsAcO2,-2.56641
286,CsAcS2,-1.87927
287,Cs2Ac2Tb2Te6,-1.29089
288,CsAcTe2,-1.5059
289,Cs6Ac2I12,-1.57862
290,AcCuF6,-2.94568
291,AcGa6Cu,-0.36112
292,Ac3Cu3Ge3,-0.58358
293,Ac2Cu2I2,-0.80395
294,Ac2In8Cu2,-0.31523
295,Ac2Mg4Cu2,-0.15289
296,Ac2Cu2Ni2,-0.24918
297,Ac2Cu2P2O2,-1.77306
298,Ac3Cu3O6,-2.34619
299,Ac4Cu4O12,-2.08349
300,Ac4Cu4Pb4,-0.37956
301,Ac2Cu2Sb4Pd2,-0.70947
302,Ac2Cu2Sb4,-0.69028
303,AcCuSi,-0.51698
304,AcCuSn,-0.44614
305,AcCu2,-0.20701
306,Ac2Ga4Cu4,-0.39844
307,AcCu2Ge2,-0.50821
308,AcCu2P2,-0.69122
309,AcCu2Si2,-0.50551
310,Ac2Zn4Cu6,-0.22199
311,AcCu4F12,-2.27184
312,AcCu5,-0.11943
313,Ac2Dy2Hg2,-0.33315
314,Ac2Dy2Te6,-1.51414
315,Ac2Dy4S8,-2.12044
316,Ac2Dy4Se8,-1.91875
317,Ac2Dy6Se12,-1.938
318,AcErGa4,-0.61945
319,Ac4Er4O12,-3.57093
320,Ac2Er2Te6,-1.50544
321,Ac2Er2Tl2,-0.26811
322,Ac2Er4S8,-2.11348
323,Ac2Er4Se8,-1.90332
324,Ac2Er6S12,-2.13456
325,Ac2Er6Se12,-1.92673
326,AcEuTlHg,-0.47661
327,AcEuHg2,-0.53639
328,AcEuIr,-0.46783
329,AcEuPd4,-0.75678
330,AcEuPt4,-1.0061
331,AcEuRh,-0.42105
332,AcEuRh4,-0.52364
333,AcEuZn2,-0.26536
334,Ac2Ge2F2,-2.35736
335,Ac2O2F2,-3.96798
336,Ac4P4F4,-2.57733
337,AcSF,-3.17117
338,Ac2Se2F2,-3.13095
339,Ac2Te2F2,-2.89089
340,Ac2F6,-4.38174
341,KAcF4,-3.91974
342,RbAcF4,-3.89376
343,Ac2Tl2F8,-3.54144
344,AcFeH6,-0.32298
345,Ac4Fe4O12,-2.0033
346,Ac2Fe2Si2,-0.48676
347,AcFe4Sb12,-0.2191
348,AcGaGe,-0.69035
349,Ac2Ga2I2,-1.08667
350,AcGaIr,-0.67879
351,Ac2Mg2Ga2,-0.39701
352,Ac2Ga2N2,-0.90666
353,AcGaNi2,-0.48671
354,Ac4Ga4O12,-2.7363
355,AcGaPd,-0.79458
356,Ac4Ga4Pd8,-0.84253
357,AcGaPt,-0.97471
358,Ac4Ga4Pt8,-1.035
359,Ac4Ga4Rh4,-0.74612
360,Ac2Ga2Ru2,-0.46937
361,AcGaSi,-0.62843
362,AcGaSn,-0.65235
363,Ac2Ga4,-0.62385
364,AcGa2Hg2,-0.41731
365,Ac4In4Ga8,-0.50806
366,AcGa2Ir2,-0.68777
367,AcGa2Ir3,-0.65502
368,Ac4Mg4Ga8,-0.49051
369,AcMg4Ga2,-0.30073
370,Ac2Nd2Ga4,-0.55619
371,Ac2Ga4Pd4,-0.81623
372,Ac2Ga4Pt4,-0.97244
373,AcGa2Rh3,-0.82068
374,Ac2Ga6,-0.53143
375,Ac2Ga6Ni4,-0.52735
376,Ac2Ga6Pt2,-0.80707
377,Ac2Ga6Ru4,-0.45841
378,AcGa4,-0.4799
379,AcHoGa4,-0.62861
380,LiAcGa4,-0.47641
381,AcGa4Pd6,-0.75954
382,AcPmGa4,-0.66269
383,AcGa4Pt6,-0.80015
384,AcGa5Ir2,-0.57375
385,AcGa5Ni2,-0.51332
386,AcGa5Rh2,-0.64188
387,AcGa6Ir,-0.50339
388,AcGa6Ni,-0.44409
389,AcGa6Pd,-0.52033
390,AcGa6Pt,-0.56785
391,AcGa6Pt4,-0.7812
392,AcGa6Rh,-0.53414
393,AcGdIr,-0.52148
394,Ac2Ge2,-0.71074
395,AcGeIr,-0.74815
396,Li4Ac4Ge4,-0.61965
397,Ac2Mg2Ge2,-0.53973
398,Ac4Ge4N4,-0.85618
399,Ac4Ge4N8,-0.67906
400,NaAcGe,-0.40644
401,AcNi2Ge,-0.52988
402,AcGePd,-0.89771
403,Ac2Ge2Pd6,-0.79372
404,AcPmGe,-0.45118
405,AcGePt,-1.04744
406,Ac2Ge2Rh4,-0.75913
407,Ac2Ge2Ru2,-0.61784
408,Ac4Ge4S12,-1.28985
409,Ac2Si2Ge2,-0.6012
410,AcZnGe,-0.63706
411,AcGe12Pt4,-0.42658
412,AcGe2,-0.62335
413,Ac2Ge4Ir4,-0.74747
414,K4Ac4Ge8,-0.47866
415,Li4Ac4Ge8,-0.65583
416,Na4Ac4Ge8,-0.46998
417,AcNi2Ge2,-0.63415
418,Ac2Ge4Pd4,-0.83726
419,Ac2Ge4Pt2,-0.9124
420,Ac2Ge4Pt4,-0.9464
421,Ac2Ge4Rh2,-0.82907
422,AcGe2Rh2,-0.87383
423,AcGe2Ru2,-0.65774
424,Ac2Tc6Ge4,-0.35707
425,Ac2Zn4Ge4,-0.44785
426,Ac2Hf2Ge6,-0.67353
427,Ac2Nb2Ge6,-0.59161
428,AcNiGe3,-0.59184
429,Ac2Ta2Ge6,-0.53624
430,Ac2Tc2Ge6,-0.46854
431,Ac2Ti2Ge6,-0.67809
432,AcGe4Rh6,-0.74336
433,AcHO,-2.21612
434,Ac4H4O8,-2.59135
435,AcHS,-1.54746
436,AcHSe,-1.49597
437,AcTeH,-1.26513
438,AcH2,-0.61865
439,Ac2H4Pt2,-0.72513
440,AcH3,-0.61636
441,Ac2H6Pd6,-0.49443
442,Ac2H8Ir2,-0.57906
443,Ac2Ni2H8,-0.49626
444,Ac2H8Pd2,-0.47819
445,Ac2H8Rh2,-0.55686
446,AcH6Ir,-0.46123
447,AcH7Rh2,-0.37785
448,Ac2Hf2Pt2,-0.81912
449,AcHg,-0.48118
450,Ac2In2Hg2,-0.4965
451,AcMgTlHg,-0.37052
452,NaAcHgPb,-0.43559
453,NaAcSnHg,-0.48912
454,Ac2Ni2Hg2,-0.40156
455,AcHgPd4,-0.61258
456,AcHgPt4,-0.7341
457,Ac2Hg2Rh2,-0.55714
458,Ac2Si2Hg2,-0.53836
459,AcHgTe2,-0.83511
460,Ac2Tl2Hg2,-0.44536
461,AcHg2,-0.47937
462,Ac2In2Hg4,-0.45599
463,AcMgHg2,-0.42689
464,AcMg5Hg2,-0.25303
465,NaAcHg2,-0.39898
466,Ac2Hg4Pd2,-0.58967
467,Ac2Hg4Rh2,-0.47607
468,AcSnHg2,-0.45906
469,SrAcHg2,-0.51955
470,AcYbHg2,-0.5792
471,Ac2Hg6,-0.42103
472,SrAcHg4,-0.48399
473,AcHg5,-0.28908
474,Ac4Ho4O12,-3.55383
475,AcHoOs,-0.07026
476,Ac2Ho2Te6,-1.51007
477,Ac2Ho4S8,-2.1176
478,Ac2Ho4Se8,-1.91189
479,Ac2Ho6S12,-2.13686
480,Ac2Ho6Se12,-1.93282
481,Ac2In2I2,-0.99524
482,Ac2Ir2I2,-1.11682
483,Ac2Ni2I2,-0.87594
484,Ac2I2O2,-2.81522
485,Ac2I2O8,-1.64983
486,AcIO6,-1.1764
487,Ac2Rh2I2,-1.09218
488,Ac2Tl2I2,-0.91603
489,Ac2Zn2I2,-0.8707
490,Ac2I6,-1.57721
491,Rb6Ac2I12,-1.538
492,AcIn,-0.42987
493,Ac4In4Ir4,-0.6102
494,Li2AcIn,-0.26663
495,Ac2Mg2In2,-0.37196
496,Ac2In2Ni2,-0.42659
497,Ac4In4O12,-2.57178
498,Ac4In4Pd4,-0.75642
499,Ac2In2Pd4,-0.76633
500,Ac4In4Pt4,-0.92112
501,AcInPt4,-0.79274
502,AcInSn2,-0.49405
503,Ac2In4,-0.48296
504,Ac2In4Ir2,-0.52764
505,AcMg4In2,-0.23332
506,AcIn2Pd4,-0.68555
507,Ac2In4Rh2,-0.61375
508,AcZn2In2,-0.39601
509,Ac2In6,-0.42115
510,Ac2In8Ni2,-0.37942
511,Ac2In8Pd2,-0.51616
512,AcIn5Ir,-0.36121
513,AcIn5Pt2,-0.56741
514,AcIn5Rh,-0.41906
515,AcIn6Pd4,-0.56089
516,Ac2Ir2,-0.5843
517,Ac2La2Ir2,-0.60192
518,Ac4Mg4Ir4,-0.57247
519,Ac2Mg4Ir2,-0.44062
520,AcNdIr,-0.47813
521,AcNiIr,-0.46228
522,AcNi2Ir,-0.36253
523,Ac2P2Ir2O2,-1.9861
524,AcPIr,-1.04872
525,AcIrPt,-0.75791
526,Ac2Ir2Rh2,-0.57784
