,composition,Formation Energy (eV/atom)
325,Ac2Er6Se12,-1.93217
326,AcEuTlHg,-0.47502
327,AcEuHg2,-0.52753
328,AcEuIr,-0.41672
329,AcEuPd4,-0.78235
330,AcEuPt4,-1.03521
331,AcEuRh,-0.36969
332,AcEuRh4,-0.58638
333,AcEuZn2,-0.27501
334,Ac2Ge2F2,-2.2647
335,Ac2O2F2,-3.93084
336,Ac4P4F4,-2.52196
337,AcSF,-3.17498
338,Ac2Se2F2,-3.10276
339,Ac2Te2F2,-2.78652
340,Ac2F6,-4.27657
341,KAcF4,-3.83345
342,RbAcF4,-3.80625
343,Ac2Tl2F8,-3.45569
344,AcFeH6,-0.34048
345,Ac4Fe4O12,-2.01799
346,Ac2Fe2Si2,-0.51644
347,AcFe4Sb12,-0.23071
348,AcGaGe,-0.61238
349,Ac2Ga2I2,-1.10903
350,AcGaIr,-0.68617
351,Ac2Mg2Ga2,-0.38494
352,Ac2Ga2N2,-0.85324
353,AcGaNi2,-0.48322
354,Ac4Ga4O12,-2.73523
355,AcGaPd,-0.76733
356,Ac4Ga4Pd8,-0.82429
357,AcGaPt,-0.96229
358,Ac4Ga4Pt8,-1.02418
359,Ac4Ga4Rh4,-0.7193
360,Ac2Ga2Ru2,-0.44619
361,AcGaSi,-0.5195
362,AcGaSn,-0.58673
363,Ac2Ga4,-0.59688
364,AcGa2Hg2,-0.39287
365,Ac4In4Ga8,-0.48423
366,AcGa2Ir2,-0.71001
367,AcGa2Ir3,-0.63104
368,Ac4Mg4Ga8,-0.47044
369,AcMg4Ga2,-0.29167
370,Ac2Nd2Ga4,-0.49932
371,Ac2Ga4Pd4,-0.80722
372,Ac2Ga4Pt4,-0.96674
373,AcGa2Rh3,-0.81275
374,Ac2Ga6,-0.5393
375,Ac2Ga6Ni4,-0.49764
376,Ac2Ga6Pt2,-0.78079
377,Ac2Ga6Ru4,-0.50743
378,AcGa4,-0.48028
379,AcHoGa4,-0.59467
380,LiAcGa4,-0.44526
381,AcGa4Pd6,-0.74946
382,AcPmGa4,-0.62746
383,AcGa4Pt6,-0.7822
384,AcGa5Ir2,-0.54069
385,AcGa5Ni2,-0.47668
386,AcGa5Rh2,-0.62937
387,AcGa6Ir,-0.48511
388,AcGa6Ni,-0.41803
389,AcGa6Pd,-0.50258
390,AcGa6Pt,-0.54841
391,AcGa6Pt4,-0.76103
392,AcGa6Rh,-0.52528
393,AcGdIr,-0.52854
394,Ac2Ge2,-0.60391
395,AcGeIr,-0.80574
396,Li4Ac4Ge4,-0.58987
397,Ac2Mg2Ge2,-0.50274
398,Ac4Ge4N4,-0.8112
399,Ac4Ge4N8,-0.67663
400,NaAcGe,-0.3875
401,AcNi2Ge,-0.54169
402,AcGePd,-0.89771
403,Ac2Ge2Pd6,-0.80192
404,AcPmGe,-0.51824
405,AcGePt,-1.04515
406,Ac2Ge2Rh4,-0.70154
407,Ac2Ge2Ru2,-0.64562
408,Ac4Ge4S12,-1.30263
409,Ac2Si2Ge2,-0.51682
410,AcZnGe,-0.58342
411,AcGe12Pt4,-0.44686
412,AcGe2,-0.63364
413,Ac2Ge4Ir4,-0.7584
414,K4Ac4Ge8,-0.43664
415,Li4Ac4Ge8,-0.6049
416,Na4Ac4Ge8,-0.4564
417,AcNi2Ge2,-0.61106
418,Ac2Ge4Pd4,-0.8241
419,Ac2Ge4Pt2,-0.89813
420,Ac2Ge4Pt4,-0.92636
421,Ac2Ge4Rh2,-0.83293
422,AcGe2Rh2,-0.91081
423,AcGe2Ru2,-0.66575
424,Ac2Tc6Ge4,-0.28355
425,Ac2Zn4Ge4,-0.45357
426,Ac2Hf2Ge6,-0.59071
427,Ac2Nb2Ge6,-0.5632
428,AcNiGe3,-0.57961
429,Ac2Ta2Ge6,-0.49762
430,Ac2Tc2Ge6,-0.44345
431,Ac2Ti2Ge6,-0.62261
432,AcGe4Rh6,-0.74054
433,AcHO,-2.21355
434,Ac4H4O8,-2.54985
435,AcHS,-1.57848
436,AcHSe,-1.49239
437,AcTeH,-1.20298
438,AcH2,-0.60089
439,Ac2H4Pt2,-0.53343
440,AcH3,-0.58365
441,Ac2H6Pd6,-0.37378
442,Ac2H8Ir2,-0.50356
443,Ac2Ni2H8,-0.47176
444,Ac2H8Pd2,-0.50041
445,Ac2H8Rh2,-0.52821
446,AcH6Ir,-0.37611
447,AcH7Rh2,-0.34018
448,Ac2Hf2Pt2,-0.78819
449,AcHg,-0.4794
450,Ac2In2Hg2,-0.49539
451,AcMgTlHg,-0.35478
452,NaAcHgPb,-0.39857
453,NaAcSnHg,-0.45019
454,Ac2Ni2Hg2,-0.39544
455,AcHgPd4,-0.60984
456,AcHgPt4,-0.75935
457,Ac2Hg2Rh2,-0.49311
458,Ac2Si2Hg2,-0.42332
459,AcHgTe2,-0.90155
460,Ac2Tl2Hg2,-0.397
461,AcHg2,-0.45561
462,Ac2In2Hg4,-0.46758
463,AcMgHg2,-0.42344
464,AcMg5Hg2,-0.24065
465,NaAcHg2,-0.40993
466,Ac2Hg4Pd2,-0.56731
467,Ac2Hg4Rh2,-0.46206
468,AcSnHg2,-0.46715
469,SrAcHg2,-0.51323
470,AcYbHg2,-0.56624
471,Ac2Hg6,-0.42739
472,SrAcHg4,-0.47972
473,AcHg5,-0.24895
474,Ac4Ho4O12,-3.53527
475,AcHoOs,-0.07363
476,Ac2Ho2Te6,-1.50965
477,Ac2Ho4S8,-2.11421
478,Ac2Ho4Se8,-1.92052
479,Ac2Ho6S12,-2.13984
480,Ac2Ho6Se12,-1.9354
481,Ac2In2I2,-1.05547
482,Ac2Ir2I2,-1.04137
483,Ac2Ni2I2,-0.90683
484,Ac2I2O2,-2.82031
485,Ac2I2O8,-1.56135
486,AcIO6,-1.21042
487,Ac2Rh2I2,-1.08027
488,Ac2Tl2I2,-0.9166
489,Ac2Zn2I2,-0.98301
490,Ac2I6,-1.60825
491,Rb6Ac2I12,-1.5753
492,AcIn,-0.43556
493,Ac4In4Ir4,-0.59968
494,Li2AcIn,-0.27728
495,Ac2Mg2In2,-0.38633
496,Ac2In2Ni2,-0.44393
497,Ac4In4O12,-2.53082
498,Ac4In4Pd4,-0.73008
499,Ac2In2Pd4,-0.76672
500,Ac4In4Pt4,-0.90033
501,AcInPt4,-0.78171
502,AcInSn2,-0.50308
503,Ac2In4,-0.52015
504,Ac2In4Ir2,-0.51718
505,AcMg4In2,-0.24835
506,AcIn2Pd4,-0.71073
507,Ac2In4Rh2,-0.61432
508,AcZn2In2,-0.39267
509,Ac2In6,-0.42789
510,Ac2In8Ni2,-0.38555
511,Ac2In8Pd2,-0.52396
512,AcIn5Ir,-0.36966
513,AcIn5Pt2,-0.56542
514,AcIn5Rh,-0.43172
515,AcIn6Pd4,-0.56895
516,Ac2Ir2,-0.54413
517,Ac2La2Ir2,-0.48802
518,Ac4Mg4Ir4,-0.6114
519,Ac2Mg4Ir2,-0.43891
520,AcNdIr,-0.48497
521,AcNiIr,-0.39928
522,AcNi2Ir,-0.32499
523,Ac2P2Ir2O2,-1.98345
524,AcPIr,-1.05083
525,AcIrPt,-0.62423
526,Ac2Ir2Rh2,-0.66414
527,Ac4Si4Ir4,-0.83185
528,Ac2Si4Ir2,-0.81262
529,AcSmIr,-0.50035
530,Ac4Sn4Ir4,-0.72392
531,Ac4Sn8Ir4,-0.67391
532,SrAcIr,-0.30608
533,AcYbIr,-0.49037
534,Ac4Zn4Ir4,-0.55497
535,Ac2Zn4Ir2,-0.47537
536,Ac2Ir4,-0.62478
537,AcMg2Ir2,-0.51837
538,AcMg5Ir2,-0.41107
539,AcNb2Ir2,-0.4437
540,Ac2Pm4Ir4,-0.56144
541,Ac2Sb4Ir4,-0.68998
542,AcSi2Ir2,-0.952
543,Ac2Sn4Ir4,-0.62213
544,SrAcIr4,-0.4851
545,KAcO2,-2.60799
546,KAcPt4,-0.76953
547,KAcS2,-1.91359
548,K2Ac2Se4,-1.78158
549,KAcTe2,-1.49652
550,AcLaOs,-0.04052
551,AcLaPt4,-1.087
552,AcLaRh4,-0.6935
553,AcLaRu,-0.1425
554,Ac2La6Se12,-2.03235
555,Li4Ac4Pb4,-0.48524
556,Li2Ac2Pd2,-0.5403
557,Li4Ac4Pd8,-0.65088
558,LiAcPt4,-0.89456
559,Li2Ac2Rh2,-0.48182
560,LiAcSb,-0.89431
561,Li2Ac2Sb4,-0.87638
562,Li4Ac4Si8,-0.45309
563,Li4Ac4Sn4,-0.60318
564,Li4Ac4Tl4,-0.33353
565,LiAcTl2,-0.31243
566,Li4Ac2Pb4,-0.43409
567,Li4Ac2Sn4,-0.54062
568,Li6Ac2Pd4,-0.51929
569,Li4AcPd2,-0.43831
570,Li8Ac2Pt4,-0.6727
571,Ac4Lu4O12,-3.59819
572,Ac2Mg2,-0.09689
573,Ac2Mg2Pb2,-0.36864
574,Ac6Mg6Pd6,-0.608
575,Ac4Mg4Pt4,-0.86727
576,Ac2Mg2Rh2,-0.59549
577,Ac2Mg2Sn2,-0.54108
578,AcMgTl,-0.30272
579,Ac3Mg3Zn3,-0.24047
580,AcMg12,-0.04253
581,Ac2Mg4,-0.13342
582,Ac2Mg4Ni2,-0.21788
583,Ac2Mg4Pd2,-0.49847
584,AcMg2Pd2,-0.71963
585,Ac2Mg4Pt2,-0.66094
586,AcMg2Pt2,-0.99632
587,Ac2Mg4Rh2,-0.46112
588,AcMg2Si2,-0.34532
589,AcMg2Sn2,-0.48385
590,Ac2Mg4Tl2,-0.24762
591,AcMg2Tl2,-0.27152
592,Ac2Mg6Sb6,-0.6446
593,Ac2Mg8Sn4,-0.37029
594,AcMg4Zn2,-0.18127
595,AcMg5Rh2,-0.42701
596,AcMg6Tl6,-0.14155
597,AcMg8Zn4,-0.12376
598,Ac2Mn2N6,-0.69477
599,Ac2Mn2P2O2,-1.51411
600,Ac4Mn4O12,-2.32078
601,AcMn2O6,-1.62753
602,AcMoN3,-0.76413
603,Ac2Mo2O8,-1.96078
604,AcMo6S8,-1.02803
605,AcN,-1.18343
606,Ac4Sn4N4O4,-1.53157
607,Ac2N2O8,-1.71886
608,AcPa7N12,-1.61066
