,composition,Formation Energy (eV/atom)
576,Ac2Mg2Rh2,-0.54384
577,Ac2Mg2Sn2,-0.54339
578,AcMgTl,-0.31536
579,Ac3Mg3Zn3,-0.28596
580,AcMg12,-0.0493
581,Ac2Mg4,-0.15906
582,Ac2Mg4Ni2,-0.22708
583,Ac2Mg4Pd2,-0.51797
584,AcMg2Pd2,-0.67964
585,Ac2Mg4Pt2,-0.67356
586,AcMg2Pt2,-0.91251
587,Ac2Mg4Rh2,-0.40808
588,AcMg2Si2,-0.41355
589,AcMg2Sn2,-0.48954
590,Ac2Mg4Tl2,-0.27826
591,AcMg2Tl2,-0.27332
592,Ac2Mg6Sb6,-0.57964
593,Ac2Mg8Sn4,-0.34979
594,AcMg4Zn2,-0.19068
595,AcMg5Rh2,-0.3825
596,AcMg6Tl6,-0.14649
597,AcMg8Zn4,-0.12838
598,Ac2Mn2N6,-0.66317
599,Ac2Mn2P2O2,-1.44283
600,Ac4Mn4O12,-2.31317
601,AcMn2O6,-1.58938
602,AcMoN3,-0.84444
603,Ac2Mo2O8,-1.91927
604,AcMo6S8,-0.97898
605,AcN,-1.08838
606,Ac4Sn4N4O4,-1.42806
607,Ac2N2O8,-1.72045
608,AcPa7N12,-1.63703
609,AcN2,-0.82437
610,Ac4P4N8,-0.98519
611,AcPaN2,-1.437
612,Ac2Ni2N6,-0.3554
613,AcNpN3,-1.18448
614,AcPuN3,-0.93151
615,AcReN3,-0.83746
616,AcUN3,-1.34323
617,AcWN3,-1.05646
618,Ac2Pa4N8,-1.61052
619,Na2Ac2Pb2,-0.3465
620,NaAcPd4,-0.6031
621,NaAcPt4,-0.8284
622,NaAcSi,-0.09818
623,Na2Ac2Si6,-0.33755
624,NaAcSn,-0.37795
625,NaAcTe2,-1.40569
626,NaAcTl2,-0.2895
627,Na3AcPd8,-0.42407
628,Ac2Nb2O8,-2.9929
629,AcNb2O6,-2.88064
630,AcNb2O7,-2.70874
631,Ac2Nd2Si6,-0.63722
632,Ac2Nd2Te6,-1.52378
633,Ac2Nd6S12,-2.11037
634,Ac2Ni2,-0.2842
635,Ac4Ni4O12,-1.59687
636,AcNiP,-1.04515
637,AcNiRh,-0.4731
638,Ac4Si4Ni4,-0.59457
639,Ac2Si4Ni2,-0.64814
640,Ac2Si6Ni2,-0.56144
641,AcZnNi,-0.35861
642,Ac2Zn4Ni2,-0.35199
643,AcNi2,-0.29636
644,Ac2Ni4P4,-0.89746
645,Ac2Ni4Sb4,-0.65731
646,Ac2Si4Ni4,-0.67807
647,Ac2Ni4Sn4,-0.46609
648,Ac2Zn2Ni6,-0.2217
649,AcNi5,-0.26705
650,Ac2Np2O8,-3.32007
651,AcNpO5,-2.99593
652,Ac2Np4Se10,-1.40138
653,Ac2P2Os2O2,-1.87678
654,Ac2P2O2,-2.3443
655,Ac2P2Pd2O2,-1.57402
656,Ac2P2Rh2O2,-1.71794
657,Ac2P2Ru2O2,-2.01335
658,Ac2Tc2P2O2,-1.9176
659,Ac2Zn2P2O2,-1.89893
660,Ac2Sb2O2,-2.03447
661,AcPa4O12,-3.582
662,AcTc4O12,-1.76553
663,RbAcO2,-2.56494
664,Ac4Pd4O12,-2.00387
665,Ac4Rh4O12,-2.15035
666,Ac4Sc4O12,-3.58807
667,Ac4Ti4O12,-3.27194
668,Ac4Tm4O12,-3.59151
669,Ac4V4O12,-2.50124
670,Ac2P2O8,-3.10844
671,AcPaO4,-3.72409
672,Ac2Ru2O8,-2.07026
673,Ac2Sb2O8,-2.40445
674,Ac2Ta2O8,-3.18693
675,Ac2U2O8,-3.43065
676,Ac2V2O8,-2.54889
677,Ac2W2O8,-1.75568
678,Ac2Re2O10,-2.30469
679,AcPt2O6,-1.46187
680,AcRh2O6,-1.52647
681,Ac2Se4O12,-1.61308
682,AcTa2O6,-3.06138
683,AcTa2O7,-2.97131
684,AcS2O8,-1.86943
685,AcPmOs,-0.04575
686,Ac2Si2Os2,-0.575
687,AcTbOs,-0.04215
688,AcSb12Os4,-0.19395
689,AcP,-1.44901
690,AcPPd,-1.24011
691,AcPPt,-1.37403
