,composition,Formation Energy (eV/atom)
421,Ac2Ge4Rh2,-0.81518
422,AcGe2Rh2,-0.85511
423,AcGe2Ru2,-0.64984
424,Ac2Tc6Ge4,-0.34762
425,Ac2Zn4Ge4,-0.44535
426,Ac2Hf2Ge6,-0.66573
427,Ac2Nb2Ge6,-0.57552
428,AcNiGe3,-0.58318
429,Ac2Ta2Ge6,-0.51655
430,Ac2Tc2Ge6,-0.45353
431,Ac2Ti2Ge6,-0.66307
432,AcGe4Rh6,-0.72649
433,AcHO,-2.19582
434,Ac4H4O8,-2.56565
435,AcHS,-1.54597
436,AcHSe,-1.49733
437,AcTeH,-1.27127
438,AcH2,-0.61725
439,Ac2H4Pt2,-0.71848
440,AcH3,-0.5989
441,Ac2H6Pd6,-0.49028
442,Ac2H8Ir2,-0.5869
443,Ac2Ni2H8,-0.49014
444,Ac2H8Pd2,-0.47058
445,Ac2H8Rh2,-0.54133
446,AcH6Ir,-0.46308
447,AcH7Rh2,-0.36554
448,Ac2Hf2Pt2,-0.81517
449,AcHg,-0.47651
450,Ac2In2Hg2,-0.49726
451,AcMgTlHg,-0.36226
452,NaAcHgPb,-0.43746
453,NaAcSnHg,-0.48665
454,Ac2Ni2Hg2,-0.38805
455,AcHgPd4,-0.61388
456,AcHgPt4,-0.73489
457,Ac2Hg2Rh2,-0.55328
458,Ac2Si2Hg2,-0.5261
459,AcHgTe2,-0.83587
460,Ac2Tl2Hg2,-0.43348
461,AcHg2,-0.47247
462,Ac2In2Hg4,-0.44912
463,AcMgHg2,-0.43461
464,AcMg5Hg2,-0.23808
465,NaAcHg2,-0.38828
466,Ac2Hg4Pd2,-0.5882
467,Ac2Hg4Rh2,-0.46733
468,AcSnHg2,-0.45704
469,SrAcHg2,-0.529
470,AcYbHg2,-0.56706
471,Ac2Hg6,-0.41577
472,SrAcHg4,-0.4809
473,AcHg5,-0.289
474,Ac4Ho4O12,-3.52573
475,AcHoOs,-0.07108
476,Ac2Ho2Te6,-1.51163
477,Ac2Ho4S8,-2.12303
478,Ac2Ho4Se8,-1.91757
479,Ac2Ho6S12,-2.14052
480,Ac2Ho6Se12,-1.93497
481,Ac2In2I2,-0.99135
482,Ac2Ir2I2,-1.12494
483,Ac2Ni2I2,-0.86401
484,Ac2I2O2,-2.79999
485,Ac2I2O8,-1.60803
486,AcIO6,-1.13449
487,Ac2Rh2I2,-1.09324
488,Ac2Tl2I2,-0.91342
489,Ac2Zn2I2,-0.87463
490,Ac2I6,-1.57064
491,Rb6Ac2I12,-1.5307
492,AcIn,-0.42969
493,Ac4In4Ir4,-0.60419
494,Li2AcIn,-0.26335
495,Ac2Mg2In2,-0.36088
496,Ac2In2Ni2,-0.42656
497,Ac4In4O12,-2.5398
498,Ac4In4Pd4,-0.7544
499,Ac2In2Pd4,-0.76137
500,Ac4In4Pt4,-0.9173
501,AcInPt4,-0.79197
502,AcInSn2,-0.49383
503,Ac2In4,-0.48239
504,Ac2In4Ir2,-0.52777
505,AcMg4In2,-0.2234
506,AcIn2Pd4,-0.68364
507,Ac2In4Rh2,-0.60998
508,AcZn2In2,-0.40166
509,Ac2In6,-0.43722
510,Ac2In8Ni2,-0.37805
511,Ac2In8Pd2,-0.51773
512,AcIn5Ir,-0.36114
513,AcIn5Pt2,-0.56054
514,AcIn5Rh,-0.41903
515,AcIn6Pd4,-0.55667
516,Ac2Ir2,-0.57812
517,Ac2La2Ir2,-0.6032
518,Ac4Mg4Ir4,-0.56042
519,Ac2Mg4Ir2,-0.42784
520,AcNdIr,-0.47921
521,AcNiIr,-0.46877
522,AcNi2Ir,-0.36179
523,Ac2P2Ir2O2,-1.96042
