,composition,type,cell,positions,numbers
59236,AuHfTl,half,"[[3.26322721, 3.26322721, -0.0], [-3.26322721, 3.26322721, 0.0], [-0.0, -0.0, 6.52645631]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[79, 79, 72, 72, 81, 81]"
63434,Lu2NbTl,full,"[[3.18169452, 3.18169452, 0.0], [-3.18169452, 3.18169452, -0.0], [-0.0, -0.0, 9.33892967]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[71, 71, 71, 71, 41, 41, 81, 81]"
65425,Sc2HfSb,inverse,"[[3.05191914, 3.05191914, 0.0], [-3.05191914, 3.05191914, -0.0], [0.0, 0.0, 9.59864081]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[21, 21, 21, 21, 72, 72, 51, 51]"
65593,Sc2RePb,inverse,"[[2.99642779, 2.99642779, -0.0], [-2.99642779, 2.99642779, -0.0], [0.0, 0.0, 8.99174409]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[21, 21, 21, 21, 75, 75, 82, 82]"
66673,Ti2HfP,full,"[[2.71130665, 2.71130665, -0.0], [-2.71130665, 2.71130665, -0.0], [-0.0, -0.0, 9.03925322]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 22, 22, 72, 72, 15, 15]"
69052,Cr2MoGa,inverse,"[[3.03173458, 3.03173458, -0.0], [-3.03173458, 3.03173458, 0.0], [0.0, 0.0, 6.05917336]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 42, 42, 31, 31]"
69501,Cr2TaGa,inverse,"[[2.62878893, 2.62878893, 0.0], [-2.62878893, 2.62878893, 0.0], [0.0, 0.0, 8.24186213]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 73, 73, 31, 31]"
70658,Mn2RuAs,inverse,"[[2.66958057, 2.66958057, -0.0], [-2.66958057, 2.66958057, -0.0], [-0.0, -0.0, 7.51281197]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]","[25, 25, 25, 25, 44, 44, 33, 33]"
72337,Fe2AgAs,inverse,"[[2.71768403, 2.71768403, -0.0], [-2.71768403, 2.71768403, 0.0], [0.0, 0.0, 7.9275756]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]","[26, 26, 26, 26, 47, 47, 33, 33]"
73863,Co2CdBi,inverse,"[[2.7847441, 2.7847441, 0.0], [-2.7847441, 2.7847441, 0.0], [-0.0, 0.0, 8.93847971]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[27, 27, 27, 27, 48, 48, 83, 83]"
74904,Ni2RuGe,inverse,"[[2.71704553, 2.71704553, -0.0], [-2.71704553, 2.71704553, 0.0], [-0.0, -0.0, 6.72759884]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[28, 28, 28, 28, 44, 44, 32, 32]"
75237,Ni2TaSn,inverse,"[[2.75998981, 2.75998981, -0.0], [-2.75998981, 2.75998981, -0.0], [-0.0, -0.0, 7.9613877]]","[[0.5, 4.022562042086513e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.5, 4.022562042086513e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]","[28, 28, 28, 28, 73, 73, 50, 50]"
77267,Zn2PdP,full,"[[2.70794946, 2.70794946, 0.0], [-2.70794946, 2.70794946, 0.0], [-0.0, -0.0, 7.96675256]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 46, 46, 15, 15]"
78106,Y2MnGa,inverse,"[[3.0471462, 3.0471462, -0.0], [-3.0471462, 3.0471462, 0.0], [-0.0, 0.0, 9.67051961]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[39, 39, 39, 39, 25, 25, 31, 31]"
79022,YAgPb,half,"[[3.1330083, 3.1330083, -0.0], [-3.1330083, 3.1330083, 0.0], [-0.0, -0.0, 8.97798271]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[39, 39, 47, 47, 82, 82]"
79179,Y2TaP,inverse,"[[2.99519593, 2.99519593, -0.0], [-2.99519593, 2.99519593, -0.0], [0.0, -0.0, 9.75760516]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[39, 39, 39, 39, 73, 73, 15, 15]"
84010,Mo2IrP,inverse,"[[2.66666706, 2.66666706, -0.0], [-2.66666706, 2.66666706, -0.0], [-0.0, -0.0, 8.17081612]]","[[0.4999999999999999, 4.163335728252317e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.7500000000000001], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 4.163335728252317e-17, 0.7500000000000001], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[42, 42, 42, 42, 77, 77, 15, 15]"
86081,Rh2TiIn,inverse,"[[2.69257359, 2.69257359, -0.0], [-2.69257359, 2.69257359, -0.0], [0.0, 0.0, 8.77385487]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[45, 45, 45, 45, 22, 22, 49, 49]"
88958,Ag2VSi,inverse,"[[3.19037059, 3.19037059, 0.0], [-3.19037059, 3.19037059, -0.0], [-0.0, -0.0, 6.29911887]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 47, 47, 23, 23, 14, 14]"
89488,Ag2RuAs,inverse,"[[3.2008228, 3.2008228, 0.0], [-3.2008228, 3.2008228, -0.0], [0.0, -0.0, 6.40272261]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 47, 47, 44, 44, 33, 33]"
92639,Hf2AgSn,inverse,"[[2.95642024, 2.95642024, 0.0], [-2.95642024, 2.95642024, 0.0], [0.0, 0.0, 9.60452815]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[72, 72, 72, 72, 47, 47, 50, 50]"
92942,Hf2ReBi,inverse,"[[2.94419415, 2.94419415, -0.0], [-2.94419415, 2.94419415, 0.0], [-0.0, 0.0, 9.41761516]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[72, 72, 72, 72, 75, 75, 83, 83]"
93046,HfIrAs,half,"[[2.73443664, 2.73443664, 0.0], [-2.73443664, 2.73443664, -0.0], [-0.0, -0.0, 7.83571456]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[72, 72, 77, 77, 33, 33]"
93154,Hf2PtTl,inverse,"[[2.87857705, 2.87857705, -0.0], [-2.87857705, 2.87857705, 0.0], [0.0, -0.0, 9.82143899]]","[[0.5, 3.8568466479824e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.5, 3.8568466479824e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]","[72, 72, 72, 72, 78, 78, 81, 81]"
94671,Ta2PtGe,inverse,"[[2.74897838, 2.74897838, 0.0], [-2.74897838, 2.74897838, -0.0], [-0.0, -0.0, 8.8875667]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[73, 73, 73, 73, 78, 78, 32, 32]"
96935,Re2HfGe,inverse,"[[2.77656565, 2.77656565, -0.0], [-2.77656565, 2.77656565, 0.0], [-0.0, -0.0, 8.42986953]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[75, 75, 75, 75, 72, 72, 32, 32]"
98734,Ir2ScIn,inverse,"[[2.77271647, 2.77271647, -0.0], [-2.77271647, 2.77271647, 0.0], [0.0, 0.0, 8.84900742]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[77, 77, 77, 77, 21, 21, 49, 49]"
101416,Pt2WTl,inverse,"[[2.93081938, 2.93081938, 0.0], [-2.93081938, 2.93081938, 0.0], [0.0, 0.0, 8.00520494]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[78, 78, 78, 78, 74, 74, 81, 81]"
101655,Pt2AuSb,inverse,"[[2.82713623, 2.82713623, 0.0], [-2.82713623, 2.82713623, -0.0], [-0.0, -0.0, 8.96422125]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[78, 78, 78, 78, 79, 79, 51, 51]"
101796,Au2VSn,inverse,"[[2.99047637, 2.99047637, -0.0], [-2.99047637, 2.99047637, 0.0], [-0.0, -0.0, 8.34197922]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[79, 79, 79, 79, 23, 23, 50, 50]"
102569,AuCdP,half,"[[3.10797844, 3.10797844, -0.0], [-3.10797844, 3.10797844, -0.0], [0.0, -0.0, 6.54222443]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[79, 79, 48, 48, 15, 15]"
102843,Au2IrP,full,"[[2.65710464, 2.65710464, 0.0], [-2.65710464, 2.65710464, 0.0], [0.0, 0.0, 9.31588188]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[79, 79, 79, 79, 77, 77, 15, 15]"
105496,Lu2MoP,inverse,"[[2.86245436, 2.86245436, 0.0], [-2.86245436, 2.86245436, 0.0], [-0.0, -0.0, 9.66293098]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[71, 71, 71, 71, 42, 42, 15, 15]"
105834,Lu2HfSi,inverse,"[[3.04818406, 3.04818406, -0.0], [-3.04818406, 3.04818406, -0.0], [0.0, 0.0, 9.48249406]]","[[0.5, 3.64224404685443e-17, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.49999999999999983, 0.5, 0.0], [0.5, 3.64224404685443e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.5, 0.5]]","[71, 71, 71, 71, 72, 72, 14, 14]"
