,composition,type,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),hull distance (eV/atom)
23201,CuOsSi,half,"[[2.40401898, 2.40401898, -0.0], [-2.40401898, 2.40401898, 0.0], [0.0, 0.0, 8.04314526]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[29, 29, 76, 76, 14, 14]",-6.326194913333333,0.4742312183333332,0.7252020640277776
23521,Zn2ScGa,full,"[[2.92141164, 2.92141164, 0.0], [-2.92141164, 2.92141164, 0.0], [-0.0, -0.0, 8.0957855]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 21, 21, 31, 31]",-3.125133375,-0.28389788,0.119154692
23746,ZnTiBi,half,"[[2.96837387, 2.96837387, 0.0], [-2.96837387, 2.96837387, 0.0], [0.0, -0.0, 8.13816519]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 22, 22, 83, 83]",-3.913236433333333,0.3486960483333335,0.5532158358652624
23842,Zn2VTl,full,"[[2.80787428, 2.80787428, -0.0], [-2.80787428, 2.80787428, 0.0], [0.0, 0.0, 9.01162948]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 23, 23, 81, 81]",-3.01611016875,0.329921271875,0.3624771729464284
25781,Zn2IrGe,full,"[[2.67718088, 2.67718088, 0.0], [-2.67718088, 2.67718088, -0.0], [0.0, 0.0, 8.16925181]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 77, 77, 32, 32]",-3.9779691225,-0.0827596375000001,0.1586925232517481
25794,ZnIrAs,half,"[[2.52492456, 2.52492456, 0.0], [-2.52492456, 2.52492456, 0.0], [0.0, 0.0, 8.2952002]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 77, 77, 33, 33]",-4.7118635483333335,0.1657636883333329,0.5226908616666665
26225,YVGa,half,"[[2.55342772, 2.55342772, -0.0], [-2.55342772, 2.55342772, 0.0], [0.0, 0.0, 10.09049698]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[39, 39, 23, 23, 31, 31]",-5.9749108416666665,0.1229062550000001,0.5674540916666664
27049,Y2NbIn,full,"[[3.2377695, 3.2377695, -0.0], [-3.2377695, 3.2377695, 0.0], [0.0, 0.0, 9.40732835]]","[[0.5, 3.4289748687334185e-17, 0.25], [0.0, 0.5, 0.75], [0.5, 3.4289748687334185e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.5, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.5, 0.5]]","[39, 39, 39, 39, 41, 41, 49, 49]",-6.36546648125,0.0104451262499996,0.3105870424999994
27300,Y2PdGe,full,"[[-0.0, 3.54885311, 3.54885311], [3.54885311, -0.0, 3.54885311], [3.54885311, 3.54885311, 0.0]]","[[0.25, 0.25, 0.24999999999999997], [0.7500000000000002, 0.7500000000000002, 0.7499999999999998], [0.5000000000000001, 0.5000000000000001, 0.4999999999999998], [0.0, 0.0, 0.0]]","[39, 39, 46, 32]",-6.4728414875,-0.8264232549999999,0.0932568558854165
28028,YAuAs,half,"[[3.71679624, 3.71679624, -0.0], [-3.71679624, 3.71679624, -0.0], [-0.0, 0.0, 5.51433679]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[39, 39, 79, 79, 33, 33]",-5.553256186666666,-0.7800873983333331,0.2571531183333343
29730,ZrTaPb,half,"[[2.88779385, 2.88779385, 0.0], [-2.88779385, 2.88779385, -0.0], [-0.0, -0.0, 9.14908449]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[40, 40, 73, 73, 82, 82]",-7.249926066666667,0.7180946666666669,0.8769560156666674
31610,Nb2CdSb,full,"[[3.00227906, 3.00227906, 0.0], [-3.00227906, 3.00227906, 0.0], [-0.0, -0.0, 8.78481956]]","[[0.49999999999999983, 3.697934144153663e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.7499999999999999], [0.49999999999999983, 3.697934144153663e-17, 0.7499999999999999], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999983, 0.5]]","[41, 41, 41, 41, 48, 48, 51, 51]",-6.07487811125,0.1927088562499994,0.4162166357142856
32290,MoTiSi,half,"[[2.57975268, 2.57975268, 0.0], [-2.57975268, 2.57975268, 0.0], [-0.0, -0.0, 7.81749265]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[42, 42, 22, 22, 14, 14]",-7.882012246666666,0.1674389716666671,0.8072121879287557
