composition,cell,positions,numbers,material_id,MP Formation energy (eV/atom),MP Hull distance (eV/atom),natoms,spacegroup
VSb2,"[[5.22481257, -0.005752999999999, -1.46261928], [-3.0072697, 4.27259063, -1.46261928], [0.00298993, 0.005752999999999, 5.42567304]]","[[0.75, 0.75, 0.0], [0.25, 0.25, 0.0], [0.84425523, 0.65574477, 0.5], [0.34425523, 0.84425523, 0.18851146], [0.15574477, 0.34425523, 0.5], [0.65574477, 0.15574477, 0.81148854]]","[23, 23, 51, 51, 51, 51]",mp-2851,-0.191192383333334,0.0,6,I4/mcm
V3Sb,"[[4.90962562, -0.0, 0.0], [0.0, 4.90962562, 0.0], [-0.0, 0.0, 4.90962562]]","[[0.5, 0.25, -0.0], [0.5, 0.75, -0.0], [0.25, 0.0, 0.5], [0.75, 0.0, 0.5], [-0.0, 0.5, 0.25], [-0.0, 0.5, 0.75], [0.5, 0.5, 0.5], [-0.0, 0.0, -0.0]]","[23, 23, 23, 23, 23, 23, 51, 51]",mp-1555,-0.2632138625000007,0.0,8,Pm-3n
Y5Sb3,"[[3.439999999999999e-06, 6.92e-06, -6.33570981], [-4.49153659, -7.77948337, 1.017e-05], [-4.49123759, 7.77931171, -5.74e-06]]","[[0.49999907, 0.3333258, 0.66667499], [0.49999977, 0.66666223, 0.33334814], [1.95e-06, 0.66666294, 0.33334899], [2.33e-06, 0.33332641, 0.6666745900000001], [0.74999938, 0.24789279, -0.00010039], [0.75000243, 0.75206273, 0.75211772], [0.75000143, 9.981000000000002e-05, 0.24795718], [0.250000699999999, 0.75201165, -9.904000000000004e-05], [0.2500015, 0.24788222000000001, 0.24795114000000001], [0.25000219, 8.772000000000001e-05, 0.75212576], [0.749993199999999, 0.6126163, 1.826e-05], [0.75000498, 0.38737863, 0.38734529], [0.75000088, -4.5e-07, 0.61262668], [0.24999102, 0.38737039, 2.4910000000000004e-05], [0.25000005000000003, 0.61264794, 0.61262907], [0.2500021, -2.6120000000000004e-05, 0.38735671]]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 51, 51, 51, 51, 51, 51]",mp-1189138,-1.030536112291668,0.0,16,P6_3/mcm
YSb,"[[3.80379869, -1e-08, 2.19612475], [1.2679322100000001, 3.58625573, 2.19612475], [1e-08, 1e-08, 4.39224848]]","[[0.5, 0.5, 0.5], [-0.0, -0.0, 0.0]]","[39, 51]",mp-215,-1.2551504433333331,0.0,2,Fm-3m
Sb,"[[3.83577146, 0.0059445900000000005, 2.50485494], [1.35894867, 3.58698298, 2.5048549700000002], [0.0085938, 0.0059445800000000005, 4.58119687]]","[[0.26825625000000003, 0.26825625000000003, 0.26825625000000003], [0.73174375, 0.73174375, 0.73174375]]","[51, 51]",mp-104,0.0,0.0,2,R-3m
Y,"[[-1.82605225, -3.15973896, 0.00050708], [-1.82605225, 3.15973896, -0.00050708], [0.0, 2.10787698, -8.72528896]]","[[0.0, -0.0, 0.0], [0.7788248600000001, 0.22117314000000002, 0.33662664000000003], [0.22117214000000002, 0.77882586, 0.66337336]]","[39, 39, 39]",mp-1187739,0.0,0.0,3,R-3m
Cu2Sb,"[[4.02029744, 0.0, -0.0], [-0.0, 4.02029744, -0.0], [-0.0, 0.0, 5.99324426]]","[[0.75, 0.25, 0.0], [0.25, 0.75, 0.0], [0.25, 0.25, 0.26214317], [0.75, 0.75, 0.73785683], [0.25, 0.25, 0.70192221], [0.75, 0.75, 0.29807779]]","[29, 29, 29, 29, 51, 51]",mp-1825,-0.04075201500000011,0.0,6,P4/nmm
Cu,"[[2.19071987, 0.0, 1.26481248], [0.73024029, 2.06543106, 1.26481248], [-0.0, -0.0, 2.52962495]]","[[-0.0, -0.0, -0.0]]",[29],mp-30,0.0,0.0,1,Fm-3m
Sb7Mo3,"[[7.85536334, 1e-08, -2.77729028], [-3.92768116, 6.80294402, -2.77729028], [-0.0, 0.0, 8.33187085]]","[[0.5, 0.75, 0.25], [0.75, 0.5, 0.25], [0.25, 0.5, 0.75], [0.75, 0.25, 0.5], [0.25, 0.75, 0.5], [0.5, 0.25, 0.75], [0.32102784, 0.32102784, 0.32102784], [0.32102784, 0.0, 0.0], [0.0, 0.32102784, -0.0], [-0.0, -0.0, 0.32102784], [-0.0, 0.67897216, 0.0], [-0.0, -0.0, 0.67897216], [0.67897216, -0.0, -0.0], [0.67897216, 0.67897216, 0.67897216], [-0.0, 0.34151295, 0.34151295], [0.34151295, -0.0, 0.34151295], [0.65848705, 0.0, 0.65848705], [0.65848705, 0.65848705, 0.0], [0.34151295, 0.34151295, -0.0], [0.0, 0.65848705, 0.65848705]]","[51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 42, 42, 42, 42, 42, 42]",mp-1521,-0.14801116900000083,0.0,20,Im-3m
Bi2Pd5,"[[5.43630563, 0.0012843, -2.21193693], [-1.17615743, 6.04503438, -2.88849071], [-0.01819738, -0.00339263, 7.72865717]]","[[0.60045947, 0.90463485, 0.2009224], [0.39954053, 0.09536515, 0.799077599999999], [0.87089458, 0.64533302, 0.74150907], [0.12910542, 0.35466698, 0.25849093], [0.52476873, 0.23584933, 0.5467212300000001], [0.97862801, 0.76420356, 0.45332057000000003], [0.47523127, 0.76415067, 0.45327877], [0.02137199, 0.23579644, 0.54667943], [0.7485612700000001, 0.50034766, 2.4030000000000002e-05], [0.25143873, 0.49965234000000003, -2.4030000000000002e-05], [0.09648105, 0.91135066, 0.19269635000000002], [0.90351895, 0.08864934000000001, 0.80730365], [0.36703491, 0.64190835, 0.73399843], [0.63296509, 0.35809165, 0.26600157]]","[83, 83, 83, 83, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]",mp-30464,-0.27475433571428554,0.0,14,C2/m
