composition,cell,positions,numbers,entry_id,calculation_id,OQMD Formation energy (eV/atom),OQMD Hull distance (eV/atom),natoms,spacegroup
Y3Co,"[[6.97545, 0.0, 0.0], [0.0, 9.43359, 0.0], [0.0, 0.0, 6.27329]]","[[0.888, 0.25, 0.045], [0.388, 0.25, 0.455], [0.612, 0.75, 0.545], [0.112, 0.75, 0.955], [0.457, 0.75, 0.14], [0.175, 0.0674, 0.177], [0.175, 0.433, 0.177], [0.675, 0.0674, 0.323], [0.675, 0.433, 0.323], [0.957, 0.75, 0.36], [0.0434, 0.25, 0.64], [0.325, 0.567, 0.677], [0.325, 0.933, 0.677], [0.825, 0.567, 0.823], [0.825, 0.933, 0.823], [0.543, 0.25, 0.86]]","[27, 27, 27, 27, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]",664091,1346850,-0.152088458125,0.0,16,Pnma
YCoGe3,"[[2.055703147, -10.804310958, 0.0], [2.055703147, 10.804310958, 0.0], [0.0, 0.0, 4.101166581]]","[[0.609, 0.391, 0.0], [0.391, 0.609, 0.0], [0.942, 0.0582, 0.0], [0.715, 0.285, 0.0], [0.285, 0.715, 0.0], [0.0582, 0.942, 0.0], [0.558, 0.442, 0.5], [0.442, 0.558, 0.5], [0.831, 0.169, 0.5], [0.169, 0.831, 0.5]]","[27, 27, 32, 32, 32, 32, 32, 32, 39, 39]",1378268,3591293,-0.536471961,0.0,10,Cmmm
Y(Co2Ge3)2,"[[-3.143726236, 3.143726236, 4.287524907], [3.143726236, -3.143726236, 4.287524907], [3.143726236, 3.143726236, -4.287524907]]","[[0.759, 0.409, 0.0], [0.409, 0.759, 0.0], [0.591, 0.591, 0.351], [0.241, 0.241, 0.649], [0.479, 0.125, 0.0], [0.125, 0.479, 0.0], [0.875, 0.875, 0.354], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.521, 0.521, 0.646], [0.0, 0.0, 0.0]]","[27, 27, 27, 27, 32, 32, 32, 32, 32, 32, 39]",1377757,3593842,-0.394957853181818,0.0,11,I-42m
Y3Co2Ge7,"[[2.085661951, -12.612601038, 0.0], [2.085661951, 12.612601038, 0.0], [0.0, 0.0, 4.195554171]]","[[0.871, 0.129, 0.5], [0.129, 0.871, 0.5], [0.911, 0.0892, 0.0], [0.5, 0.5, 0.0], [0.0892, 0.911, 0.0], [0.78, 0.22, 0.5], [0.589, 0.411, 0.5], [0.411, 0.589, 0.5], [0.22, 0.78, 0.5], [0.684, 0.316, 0.0], [0.316, 0.684, 0.0], [0.0, 0.0, 0.5]]","[27, 27, 32, 32, 32, 32, 32, 32, 32, 39, 39, 39]",1376930,3613747,-0.608084220000001,0.0,12,Cmmm
YCoGe2,"[[-2.080627181, 4.327668646, 7.842578826], [2.080627181, -4.327668646, 7.842578826], [2.080627181, 4.327668646, -7.842578826]]","[[0.397, 0.146, 0.251], [0.105, 0.854, 0.251], [0.895, 0.146, 0.749], [0.603, 0.854, 0.749], [0.0794, 0.0794, 0.0], [0.921, 0.921, 0.0], [0.464, 0.303, 0.161], [0.857, 0.697, 0.161], [0.584, 0.0838, 0.5], [0.416, 0.916, 0.5], [0.143, 0.303, 0.839], [0.536, 0.697, 0.839], [0.762, 0.5, 0.262], [0.793, 0.293, 0.5], [0.207, 0.707, 0.5], [0.238, 0.5, 0.738]]","[27, 27, 27, 27, 32, 32, 32, 32, 32, 32, 32, 32, 39, 39, 39, 39]",1378231,3616293,-0.655450835000001,0.0,16,Immm
YCoGe,"[[6.8986279, 0.0, 0.0], [0.0, 4.231928952, 0.0], [0.0, 0.0, 7.262189726]]","[[0.346, 0.75, 0.0668], [0.846, 0.75, 0.433], [0.154, 0.25, 0.567], [0.654, 0.25, 0.933], [0.702, 0.75, 0.0996], [0.202, 0.75, 0.4], [0.798, 0.25, 0.6], [0.298, 0.25, 0.9], [0.992, 0.25, 0.198], [0.492, 0.25, 0.302], [0.508, 0.75, 0.698], [0.00783, 0.75, 0.802]]","[27, 27, 27, 27, 32, 32, 32, 32, 39, 39, 39, 39]",1456627,3710762,-0.6684916774999993,0.0,12,Pnma
Y4Ge3,"[[-4.418088648, 4.418088648, 4.418088648], [4.418088648, -4.418088648, 4.418088648], [4.418088648, 4.418088648, -4.418088648]]","[[0.875, 0.25, 0.125], [0.125, 0.875, 0.25], [0.625, 0.75, 0.375], [0.75, 0.375, 0.625], [0.375, 0.625, 0.75], [0.25, 0.125, 0.875], [0.132, 0.5, 0.0], [0.632, 0.5, 0.0], [0.5, 0.0, 0.132], [0.368, 0.368, 0.368], [0.0, 0.132, 0.5], [0.0, 0.632, 0.5], [0.5, 0.0, 0.632], [0.868, 0.868, 0.868]]","[32, 32, 32, 32, 32, 32, 39, 39, 39, 39, 39, 39, 39, 39]",1479285,3820318,-0.8890792828571422,0.0,14,I-43d
CoGe,"[[4.98302, 0.0, 0.0], [0.0, 3.865061, 0.0], [-2.490937, 0.0, 4.315953]]","[[0.5, 0.0, 0.0], [0.5, 0.0, 0.5], [0.0, 0.0, 0.5], [0.0, 0.0, 0.0], [0.667, 0.5, 0.333], [0.333, 0.5, 0.667]]","[27, 27, 27, 32, 32, 32]",1790918,4621606,-0.2310272891666673,0.0,6,Cmmm
Y3Ge5,"[[6.913769, 0.0, 0.0], [3.456883, 5.987548, 0.0], [0.0, 0.0, 8.390111]]","[[0.0, 0.0, 0.25], [0.333, 0.333, 0.25], [0.669, 0.405, 0.25], [0.926, 0.669, 0.25], [0.405, 0.926, 0.25], [0.0, 0.0, 0.75], [0.331, 0.074, 0.75], [0.595, 0.331, 0.75], [0.074, 0.595, 0.75], [0.667, 0.667, 0.75], [0.669, 0.0, 0.0], [0.0, 0.331, 0.0], [0.331, 0.669, 0.0], [0.331, 0.669, 0.5], [0.669, 0.0, 0.5], [0.0, 0.331, 0.5]]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 39, 39, 39, 39, 39, 39]",1795285,4644769,-0.7194447781250002,0.0,16,P-62c
Y5Co2,"[[8.012401345, -3.166467698, 0.0], [8.012401345, 3.166467698, 0.0], [-0.808480998, 0.0, 6.90808537]]","[[0.825, 0.399, 0.073], [0.601, 0.175, 0.427], [0.399, 0.825, 0.573], [0.175, 0.601, 0.927], [0.798, 0.0116, 0.0878], [0.216, 0.354, 0.184], [0.43, 0.57, 0.25], [0.646, 0.784, 0.316], [0.988, 0.202, 0.412], [0.0116, 0.798, 0.588], [0.354, 0.216, 0.684], [0.57, 0.43, 0.75], [0.784, 0.646, 0.816], [0.202, 0.988, 0.912]]","[27, 27, 27, 27, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]",1982042,5023537,-0.1648837428571436,0.0,14,C2/c
Y3Co2Ge3,"[[2.086335326, -5.235907697, 0.0], [2.086335326, 5.235907697, 0.0], [0.0, 0.0, 14.041634643]]","[[0.293, 0.707, 0.0976], [0.293, 0.707, 0.402], [0.707, 0.293, 0.598], [0.707, 0.293, 0.902], [0.869, 0.131, 0.0392], [0.163, 0.837, 0.25], [0.869, 0.131, 0.461], [0.131, 0.869, 0.539], [0.837, 0.163, 0.75], [0.131, 0.869, 0.961], [0.582, 0.418, 0.109], [0.86, 0.14, 0.25], [0.582, 0.418, 0.391], [0.418, 0.582, 0.609], [0.14, 0.86, 0.75], [0.418, 0.582, 0.891]]","[27, 27, 27, 27, 32, 32, 32, 32, 32, 32, 39, 39, 39, 39, 39, 39]",1980729,5038237,-0.7342535737500002,0.0,16,Cmcm
Y2Co3Ge5,"[[-4.850973669, 5.837926187, 2.890048298], [4.850973669, -5.837926187, 2.890048298], [4.850973669, 5.837926187, -2.890048298]]","[[0.64, 0.395, 0.0353], [0.14, 0.105, 0.244], [0.75, 0.25, 0.5], [0.25, 0.75, 0.5], [0.86, 0.895, 0.756], [0.36, 0.605, 0.965], [0.25, 0.25, 0.0], [0.75, 0.75, 0.0], [0.407, 0.835, 0.241], [0.525, 0.25, 0.275], [0.0252, 0.75, 0.275], [0.0931, 0.335, 0.428], [0.907, 0.665, 0.572], [0.975, 0.25, 0.725], [0.475, 0.75, 0.725], [0.593, 0.165, 0.759], [0.862, 0.233, 0.095], [0.638, 0.733, 0.371], [0.362, 0.267, 0.629], [0.138, 0.767, 0.905]]","[27, 27, 27, 27, 27, 27, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 39, 39, 39, 39]",1979373,5054872,-0.5895682745000002,0.0,20,Ibam
Co3Ge,"[[3.218454888, -3.78048841, 0.0], [3.218454888, 3.78048841, 0.0], [0.0, 0.0, 3.754921882]]","[[0.16, 0.392, 0.25], [0.608, 0.84, 0.25], [0.0999, 0.9, 0.25], [0.9, 0.0999, 0.75], [0.392, 0.16, 0.75], [0.84, 0.608, 0.75], [0.668, 0.332, 0.25], [0.332, 0.668, 0.75]]","[27, 27, 27, 27, 27, 27, 32, 32]",2034704,5147217,-0.12794422624999946,0.0,8,Cmcm
YCo,"[[1.943231208, 1.121925061, 6.841219466], [-1.943231208, 1.121925061, 6.841219466], [0.0, -2.243850122, 6.841219466]]","[[0.333, 0.333, 0.333], [0.667, 0.667, 0.667], [0.0886, 0.0886, 0.0886], [0.911, 0.911, 0.911]]","[27, 27, 39, 39]",21457,5195810,-0.20476897250000015,0.0,4,R-3m
Y4Co5,"[[5.118323171, -2.004660813, 0.0], [5.118323171, 2.004660813, 0.0], [-2.753497061, 0.0, 8.19731149]]","[[0.5, 0.5, 0.0], [0.967, 0.967, 0.134], [0.915, 0.915, 0.376], [0.0855, 0.0855, 0.624], [0.033, 0.033, 0.866], [0.261, 0.261, 0.16], [0.61, 0.61, 0.381], [0.39, 0.39, 0.619], [0.739, 0.739, 0.84]]","[27, 27, 27, 27, 27, 39, 39, 39, 39]",2131767,5580872,-0.20427209666666674,0.0,9,C2/m
Y3Co8,"[[-4.366135024, 4.366135024, 4.366135024], [4.366135024, -4.366135024, 4.366135024], [4.366135024, 4.366135024, -4.366135024]]","[[0.5, 0.0, 0.0], [0.664, 0.336, 0.0], [0.0, 0.5, 0.0], [0.336, 0.664, 0.0], [0.664, 0.664, 0.328], [0.336, 0.672, 0.336], [0.664, 0.0, 0.336], [0.0, 0.664, 0.336], [0.672, 0.336, 0.336], [0.0, 0.0, 0.5], [0.5, 0.5, 0.5], [0.336, 0.0, 0.664], [0.664, 0.328, 0.664], [0.0, 0.336, 0.664], [0.328, 0.664, 0.664], [0.336, 0.336, 0.672], [0.282, 0.282, 0.0], [0.718, 0.718, 0.0], [0.282, 0.0, 0.282], [0.0, 0.282, 0.282], [0.718, 0.0, 0.718], [0.0, 0.718, 0.718]]","[27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 39, 39, 39, 39, 39, 39]",2135323,5591594,-0.1827558254545455,0.0,22,Im-3m
Pt4W,"[[-3.140201786, 3.140201786, 1.961642491], [3.140201786, -3.140201786, 1.961642491], [3.140201786, 3.140201786, -1.961642491]]","[[0.794, 0.397, 0.191], [0.603, 0.794, 0.397], [0.397, 0.206, 0.603], [0.206, 0.603, 0.809], [0.0, 0.0, 0.0]]","[78, 78, 78, 78, 74]",1374292,3449490,-0.270186521999999,0.0,5,I4/m
Pt2W,"[[-1.39467696, 1.979714626, 4.166672344], [1.39467696, -1.979714626, 4.166672344], [1.39467696, 1.979714626, -4.166672344]]","[[0.337, 0.337, 0.0], [0.663, 0.663, 0.0], [0.0, 0.0, 0.0]]","[78, 78, 74]",2028481,5096842,-0.34125381999999976,0.0,3,Immm
Pt8W,"[[-4.212885117, 4.212885117, 1.96973215], [4.212885117, -4.212885117, 1.96973215], [4.212885117, 4.212885117, -1.96973215]]","[[0.661, 0.339, 0.0], [0.339, 0.661, 0.0], [0.661, 0.661, 0.322], [0.328, 0.0, 0.328], [0.0, 0.328, 0.328], [0.672, 0.0, 0.672], [0.0, 0.672, 0.672], [0.339, 0.339, 0.678], [0.0, 0.0, 0.0]]","[78, 78, 78, 78, 78, 78, 78, 78, 74]",2131763,5579835,-0.20187814333333323,0.0,9,I4/mmm
GePd,"[[6.359636, 0.0, 0.0], [0.0, 5.86614, 0.0], [0.0, 0.0, 3.557797]]","[[0.576, 0.186, 0.25], [0.924, 0.686, 0.25], [0.0758, 0.314, 0.75], [0.424, 0.814, 0.75], [0.191, 0.00406, 0.25], [0.309, 0.504, 0.25], [0.691, 0.496, 0.75], [0.809, 0.996, 0.75]]","[32, 32, 32, 32, 46, 46, 46, 46]",13801,27621,-0.46030866125,0.0,8,Pnma
YGePd,"[[-4.409002, 0.0, 0.0], [0.0, 0.0, 7.639127], [2.204501, 10.558839, -3.819564]]","[[0.0651, 0.219, 0.13], [0.594, 0.75, 0.189], [0.235, 0.0724, 0.47], [0.765, 0.603, 0.53], [0.406, 0.561, 0.811], [0.935, 0.0888, 0.87], [0.572, 0.395, 0.144], [0.104, 0.931, 0.208], [0.733, 0.899, 0.466], [0.267, 0.434, 0.534], [0.896, 0.723, 0.792], [0.428, 0.252, 0.856], [0.0, 0.534, 0.0], [0.5, 0.951, 0.0], [0.667, 0.202, 0.333], [0.167, 0.625, 0.335], [0.833, 0.29, 0.665], [0.333, 0.869, 0.667]]","[32, 32, 32, 32, 32, 32, 46, 46, 46, 46, 46, 46, 39, 39, 39, 39, 39, 39]",24606,1230994,-0.999304582222223,0.0,18,Imm2
Ge8Pd21,"[[0.0, 0.0, -10.165697], [6.638791, 6.638791, 5.082848], [6.638791, -6.638791, -5.082848]]","[[0.345, 0.778, 0.0307], [0.0798, 0.356, 0.0505], [0.13, 0.0505, 0.144], [0.434, 0.531, 0.222], [0.625, 0.969, 0.278], [0.723, 0.449, 0.356], [0.274, 0.144, 0.449], [0.097, 0.722, 0.469], [0.903, 0.278, 0.531], [0.726, 0.856, 0.551], [0.277, 0.551, 0.644], [0.375, 0.0307, 0.722], [0.566, 0.469, 0.778], [0.87, 0.949, 0.856], [0.92, 0.644, 0.949], [0.655, 0.222, 0.969], [0.377, 0.544, 0.0166], [0.606, 0.983, 0.0437], [0.703, 0.773, 0.0599], [0.836, 0.406, 0.0876], [0.923, 0.0876, 0.0937], [0.0668, 0.785, 0.107], [0.389, 0.232, 0.174], [0.718, 0.607, 0.215], [0.0702, 0.56, 0.227], [0.157, 0.326, 0.232], [0.375, 0.75, 0.25], [0.563, 0.174, 0.268], [0.237, 0.94, 0.273], [0.826, 0.893, 0.285], [0.831, 0.268, 0.326], [0.889, 0.715, 0.393], [0.43, 0.412, 0.406], [0.0171, 0.0937, 0.412], [0.49, 0.727, 0.44], [0.166, 0.517, 0.456], [0.35, 0.956, 0.483], [0.65, 0.0437, 0.517], [0.834, 0.483, 0.544], [0.51, 0.273, 0.56], [0.983, 0.906, 0.588], [0.57, 0.588, 0.594], [0.111, 0.285, 0.607], [0.169, 0.732, 0.674], [0.174, 0.107, 0.715], [0.763, 0.0599, 0.727], [0.437, 0.826, 0.732], [0.625, 0.25, 0.75], [0.843, 0.674, 0.768], [0.93, 0.44, 0.773], [0.282, 0.393, 0.785], [0.611, 0.768, 0.826], [0.933, 0.215, 0.893], [0.0765, 0.912, 0.906], [0.164, 0.594, 0.912], [0.297, 0.227, 0.94], [0.394, 0.0166, 0.956], [0.623, 0.456, 0.983]]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]",50933,2351190,-0.482744633448276,0.0,58,I41/a
GePd2,"[[6.772524, 0.0, 0.0], [0.0, 3.501224, 0.0], [-3.386262, 0.0, 5.865239]]","[[0.0, 0.5, 0.0], [0.667, 0.0, 0.333], [0.333, 0.0, 0.667], [0.731, 0.0, 0.0], [0.391, 0.5, 0.0], [0.269, 0.0, 0.269], [0.0, 0.5, 0.391], [0.609, 0.5, 0.609], [0.0, 0.0, 0.731]]","[32, 32, 32, 46, 46, 46, 46, 46, 46]",1276945,3123745,-0.542450266111111,0.0,9,P-62m
Y(GePd)2,"[[-2.140682, 2.140682, 5.095053], [2.140682, -2.140682, 5.095053], [2.140682, 2.140682, -5.095053]]","[[0.12, 0.12, 0.0], [0.88, 0.88, 0.0], [0.75, 0.25, 0.5], [0.25, 0.75, 0.5], [0.5, 0.5, 0.0]]","[32, 32, 46, 46, 39]",1285668,3145688,-0.806460367,0.0,5,I4/mmm
YPd8,"[[-4.25853324, 4.25853324, 2.014828927], [4.25853324, -4.25853324, 2.014828927], [4.25853324, 4.25853324, -2.014828927]]","[[0.671, 0.329, 0.0], [0.329, 0.671, 0.0], [0.336, 0.0, 0.336], [0.0, 0.336, 0.336], [0.671, 0.671, 0.342], [0.329, 0.329, 0.658], [0.664, 0.0, 0.664], [0.0, 0.664, 0.664], [0.0, 0.0, 0.0]]","[46, 46, 46, 46, 46, 46, 46, 46, 39]",1373462,3538206,-0.389635335,0.0,9,I4/mmm
Y3Pd4,"[[6.621144368, 3.822719483, 1.919055152], [-6.621144368, 3.822719483, 1.919055152], [0.0, -7.645438967, 1.919055152]]","[[0.0, 0.0, 0.0], [0.552, 0.228, 0.0638], [0.0638, 0.552, 0.228], [0.772, 0.936, 0.448], [0.5, 0.5, 0.5], [0.228, 0.0638, 0.552], [0.936, 0.448, 0.772], [0.448, 0.772, 0.936], [0.276, 0.404, 0.0238], [0.404, 0.0238, 0.276], [0.0238, 0.276, 0.404], [0.976, 0.724, 0.596], [0.596, 0.976, 0.724], [0.724, 0.596, 0.976]]","[46, 46, 46, 46, 46, 46, 46, 46, 39, 39, 39, 39, 39, 39]",1437089,3577461,-0.924228228571429,0.0,14,R-3
Y2Pd,"[[7.114406475, 0.0, 0.0], [0.0, 4.891280373, 0.0], [0.0, 0.0, 8.78002755]]","[[0.759, 0.75, 0.0947], [0.259, 0.75, 0.405], [0.741, 0.25, 0.595], [0.241, 0.25, 0.905], [0.356, 0.75, 0.0814], [0.0155, 0.25, 0.171], [0.516, 0.25, 0.329], [0.856, 0.75, 0.419], [0.144, 0.25, 0.581], [0.484, 0.75, 0.671], [0.984, 0.75, 0.829], [0.644, 0.25, 0.919]]","[46, 46, 46, 46, 39, 39, 39, 39, 39, 39, 39, 39]",1370782,3602364,-0.62335275,0.0,12,Pnma
Y3(GePd)4,"[[-2.099772216, 3.558893867, 7.010904196], [2.099772216, -3.558893867, 7.010904196], [2.099772216, 3.558893867, -7.010904196]]","[[0.218, 0.218, 0.0], [0.782, 0.782, 0.0], [0.688, 0.5, 0.188], [0.312, 0.5, 0.812], [0.625, 0.325, 0.3], [0.975, 0.675, 0.3], [0.0254, 0.325, 0.7], [0.375, 0.675, 0.7], [0.0, 0.0, 0.0], [0.626, 0.126, 0.5], [0.374, 0.874, 0.5]]","[32, 32, 32, 32, 46, 46, 46, 46, 39, 39, 39]",1454371,3702062,-0.9160502331818182,0.0,11,Immm
GePd3,"[[5.489817, 0.0, 0.0], [0.0, 5.747357, 0.0], [0.0, 0.0, 7.891832]]","[[0.98, 0.169, 0.25], [0.52, 0.669, 0.25], [0.0203, 0.331, 0.75], [0.48, 0.831, 0.75], [0.808, 0.441, 0.0382], [0.692, 0.941, 0.0382], [0.428, 0.249, 0.25], [0.0719, 0.749, 0.25], [0.808, 0.441, 0.462], [0.692, 0.941, 0.462], [0.192, 0.0591, 0.538], [0.308, 0.559, 0.538], [0.572, 0.251, 0.75], [0.928, 0.751, 0.75], [0.192, 0.0591, 0.962], [0.308, 0.559, 0.962]]","[32, 32, 32, 32, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]",1787181,4642607,-0.4535868531249996,0.0,16,Pnma
YGe2Pd,"[[4.32696, 0.0, 0.0], [0.0, 8.814214, 0.0], [2.16348, 4.407107, 8.255326]]","[[0.426, 0.426, 0.148], [0.425, 0.925, 0.149], [0.802, 0.652, 0.396], [0.802, 0.952, 0.396], [0.198, 0.048, 0.604], [0.198, 0.348, 0.604], [0.575, 0.0747, 0.851], [0.574, 0.574, 0.852], [0.353, 0.103, 0.295], [0.353, 0.602, 0.295], [0.647, 0.398, 0.705], [0.647, 0.897, 0.705], [0.0, 0.261, 0.0], [0.0, 0.739, 0.0], [0.798, 0.298, 0.403], [0.202, 0.702, 0.597]]","[32, 32, 32, 32, 32, 32, 32, 32, 46, 46, 46, 46, 39, 39, 39, 39]",1792637,4643951,-0.76890138,0.0,16,Immm
YPd3,"[[4.121802716, 0.0, 0.0], [0.0, 4.121802716, 0.0], [0.0, 0.0, 4.11908801]]","[[0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.0, 0.0, 0.0]]","[46, 46, 46, 39]",1988958,4994129,-0.8617460612499999,0.0,4,P4/mmm
Y(Ge2Pd3)2,"[[7.384182854, 0.0, 0.0], [-3.692091427, 6.394889938, 0.0], [0.0, 0.0, 3.909643789]]","[[0.333, 0.667, 0.0], [0.38, 0.19, 0.5], [0.81, 0.19, 0.5], [0.81, 0.62, 0.5], [0.535, 0.0708, 0.0], [0.929, 0.465, 0.0], [0.535, 0.465, 0.0], [0.198, 0.397, 0.5], [0.198, 0.802, 0.5], [0.603, 0.802, 0.5], [0.0, 0.0, 0.0]]","[32, 32, 32, 32, 46, 46, 46, 46, 46, 46, 39]",1987100,5015747,-0.6782786568181823,0.0,11,P-6m2
GePd5,"[[2.790901453, -3.913779296, 0.0], [2.790901453, 3.913779296, 0.0], [-1.197935842, 0.0, 8.470847325]]","[[0.8, 0.754, 0.292], [0.246, 0.2, 0.708], [0.278, 0.233, 0.00682], [0.818, 0.256, 0.174], [0.302, 0.772, 0.174], [0.369, 0.324, 0.353], [0.835, 0.165, 0.5], [0.211, 0.789, 0.5], [0.676, 0.631, 0.647], [0.228, 0.698, 0.826], [0.744, 0.182, 0.826], [0.767, 0.722, 0.993]]","[32, 32, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]",2027212,5158254,-0.32132752499999917,0.0,12,C2
YGePd2,"[[7.377489611, 0.0, 0.0], [0.0, 7.17504648, 0.0], [0.0, 0.0, 5.617186041]]","[[0.121, 0.25, 0.141], [0.621, 0.25, 0.359], [0.379, 0.75, 0.641], [0.879, 0.75, 0.859], [0.818, 0.0522, 0.0883], [0.818, 0.448, 0.0883], [0.318, 0.0522, 0.412], [0.318, 0.448, 0.412], [0.682, 0.552, 0.588], [0.682, 0.948, 0.588], [0.182, 0.552, 0.912], [0.182, 0.948, 0.912], [0.526, 0.75, 0.142], [0.0259, 0.75, 0.358], [0.974, 0.25, 0.642], [0.474, 0.25, 0.858]]","[32, 32, 32, 32, 46, 46, 46, 46, 46, 46, 46, 46, 39, 39, 39, 39]",2027217,5168281,-0.9155527218750006,0.0,16,Pnma
Y3Pd,"[[7.04012248, 0.0, 0.0], [0.0, 9.710973635, 0.0], [0.0, 0.0, 6.487838329]]","[[0.392, 0.75, 0.0539], [0.892, 0.75, 0.446], [0.108, 0.25, 0.554], [0.608, 0.25, 0.946], [0.976, 0.25, 0.131], [0.682, 0.559, 0.178], [0.682, 0.941, 0.178], [0.182, 0.559, 0.322], [0.182, 0.941, 0.322], [0.476, 0.25, 0.369], [0.524, 0.75, 0.631], [0.818, 0.0595, 0.678], [0.818, 0.441, 0.678], [0.318, 0.0595, 0.822], [0.318, 0.441, 0.822], [0.024, 0.75, 0.869]]","[46, 46, 46, 46, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]",2028390,5169486,-0.4763003456249999,0.0,16,Pnma
YPd,"[[4.591246438, 0.0, 0.0], [0.0, 5.579372281, 0.0], [0.0, 0.0, 6.998751532]]","[[0.0, 0.0957, 0.0409], [0.5, 0.599, 0.458], [0.0, 0.904, 0.541], [0.5, 0.401, 0.958], [0.0, 0.606, 0.183], [0.5, 0.107, 0.317], [0.0, 0.394, 0.683], [0.5, 0.893, 0.817]]","[46, 46, 46, 46, 39, 39, 39, 39]",1907786,5225762,-0.9155688412499998,0.0,8,Pmc21
