Unnamed: 0,composition,type,cell,positions,numbers,initial_cell,initial_positions,initial_numbers,optimized_formula,optimized_cell,optimized_positions,optimized_numbers,Energy (eV/atom),Formation Energy (eV/atom),Hull Distance (eV/atom)
25794,ZnIrAs,half,"[[2.52492456, 2.52492456, 0.0], [-2.52492456, 2.52492456, 0.0], [0.0, 0.0, 8.2952002]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 77, 77, 33, 33]","[[2.52492456, 2.52492456, 0.0], [-2.52492456, 2.52492456, 0.0], [0.0, 0.0, 8.2952002]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 77, 77, 33, 33]",As2Ir2Zn2,"[[2.5403799354647583, 2.54037993546476, -1.7790137471017294e-18], [-2.5403799354647583, 2.54037993546476, -1.7790137471017294e-18], [-2.7383589396775798e-36, -5.950302956505302e-18, 8.138113457476505]]","[[0.49999999999999983, 1.5585210727190592e-16, 0.24999999999999992], [-6.683912955331624e-16, 0.5000000000000001, 0.75], [1.9915143668433062e-17, -1.991514366843305e-17, 0.49999999999999983], [0.49999999999999895, 0.5000000000000006, -3.2414052215692766e-35], [2.3111159332646837e-33, -3.2323224789526495e-38, 7.878825268428398e-67], [0.49999999999999895, 0.5000000000000006, 0.49999999999999983]]","[30, 30, 77, 77, 33, 33]",-4.850929896036784,0.0674198468526201,0.40611012776692645
26225,YVGa,half,"[[2.55342772, 2.55342772, -0.0], [-2.55342772, 2.55342772, 0.0], [0.0, 0.0, 10.09049698]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[39, 39, 23, 23, 31, 31]","[[2.55342772, 2.55342772, -0.0], [-2.55342772, 2.55342772, 0.0], [0.0, 0.0, 10.09049698]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[39, 39, 23, 23, 31, 31]",Ga2V2Y2,"[[2.566865328099257, 2.566865328099257, 7.284497479644948e-30], [-2.5668653280992575, 2.5668653280992575, 7.284497479644928e-30], [4.3456479305323875e-44, 2.885184969299589e-29, 10.158812564385913]]","[[0.49999999999999994, 6.030503881113734e-17, 0.24999999999999997], [9.153523145502875e-17, 0.49999999999999983, 0.7499999999999992], [8.956541445900646e-17, 8.435343445599718e-17, 0.49999999999999994], [0.5000000000000001, 0.4999999999999999, -1.0096870287817602e-46], [7.70371977754896e-34, -2.0561389133641503e-37, -8.900144740291446e-79], [0.5, 0.4999999999999998, 0.49999999999999994]]","[39, 39, 23, 23, 31, 31]",-6.11799430847168,0.0629076957702636,0.5157979329427085
27049,Y2NbIn,full,"[[3.2377695, 3.2377695, -0.0], [-3.2377695, 3.2377695, 0.0], [0.0, 0.0, 9.40732835]]","[[0.5, 3.4289748687334185e-17, 0.25], [0.0, 0.5, 0.75], [0.5, 3.4289748687334185e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.5, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.5, 0.5]]","[39, 39, 39, 39, 41, 41, 49, 49]","[[3.2377695, 3.2377695, -0.0], [-3.2377695, 3.2377695, 0.0], [0.0, 0.0, 9.40732835]]","[[0.5, 3.4289748687334185e-17, 0.25], [0.0, 0.5, 0.75], [0.5, 3.4289748687334185e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.5, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.5, 0.5]]","[39, 39, 39, 39, 41, 41, 49, 49]",In2Nb2Y4,"[[3.29571713207753, 3.2957171320775305, -5.838637635049402e-19], [-3.2957171320775296, 3.29571713207753, -5.838637635050442e-19], [-1.056128832987311e-31, -1.4818380260354817e-18, 9.33257200312459]]","[[0.4999999999999993, 7.625044291467113e-16, 0.25000000000000006], [-1.5052382365440129e-15, 0.5000000000000003, 0.7500000000000006], [0.4999999999999992, 7.903724111041658e-16, 0.7500000000000006], [-1.5608617941170964e-15, 0.5000000000000004, 0.25000000000000006], [1.3096239341515865e-16, 1.433555960835144e-16, 0.5000000000000001], [0.4999999999999983, 0.5000000000000004, -2.058823691110137e-34], [1.0286924606200223e-16, 1.0286924606200265e-16, -2.6063775077860626e-50], [0.4999999999999983, 0.5000000000000004, 0.5000000000000001]]","[39, 39, 39, 39, 41, 41, 49, 49]",-6.433276653289795,-0.0043985843658447,0.2897232373555501
27300,Y2PdGe,full,"[[-0.0, 3.54885311, 3.54885311], [3.54885311, -0.0, 3.54885311], [3.54885311, 3.54885311, 0.0]]","[[0.25, 0.25, 0.24999999999999997], [0.7500000000000002, 0.7500000000000002, 0.7499999999999998], [0.5000000000000001, 0.5000000000000001, 0.4999999999999998], [0.0, 0.0, 0.0]]","[39, 39, 46, 32]","[[-0.0, 3.54885311, 3.54885311], [3.54885311, -0.0, 3.54885311], [3.54885311, 3.54885311, 0.0]]","[[0.25, 0.25, 0.24999999999999997], [0.7500000000000002, 0.7500000000000002, 0.7499999999999998], [0.5000000000000001, 0.5000000000000001, 0.4999999999999998], [0.0, 0.0, 0.0]]","[39, 39, 46, 32]",GePdY2,"[[2.630798866665698e-18, 3.556988204002091, 3.556988204002091], [3.556988204002091, 2.8059786487798817e-18, 3.556988204002091], [3.556988204002091, 3.556988204002091, 5.946345015974226e-19]]","[[0.24999999999999986, 0.24999999999999972, 0.250000000000001], [0.7500000000000001, 0.7499999999999988, 0.750000000000003], [0.4999999999999996, 0.49999999999999956, 0.500000000000002], [6.256798972585018e-17, -6.256798972585008e-17, -6.256798972585028e-17]]","[39, 39, 46, 32]",-6.5054216384887695,-0.8531408309936523,0.0655204653739927
28028,YAuAs,half,"[[3.71679624, 3.71679624, -0.0], [-3.71679624, 3.71679624, -0.0], [-0.0, 0.0, 5.51433679]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[39, 39, 79, 79, 33, 33]","[[3.71679624, 3.71679624, -0.0], [-3.71679624, 3.71679624, -0.0], [-0.0, 0.0, 5.51433679]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[39, 39, 79, 79, 33, 33]",As2Au2Y2,"[[3.695287118383568, 3.695287118383565, -1.4937459219178567e-22], [-3.6952871183835683, 3.695287118383565, -1.4937459219178567e-22], [-7.477191127141422e-42, -2.270028573859211e-22, 5.592946383100497]]","[[0.49999999999999895, -1.7256886351244877e-15, 0.24999999999999994], [2.1374926038152144e-16, 0.49999999999999983, 0.7500000000000002], [-7.20443496399514e-17, 4.7437370953390283e-17, 0.4999999999999999], [0.49999999999999883, 0.4999999999999984, -8.053356673016388e-17], [-7.204434963995141e-17, 4.743737095339028e-17, -8.053356673016389e-17], [0.49999999999999883, 0.4999999999999984, 0.5]]","[39, 39, 79, 79, 33, 33]",-5.486012776692708,-0.6975754102071123,0.3455853462219245
29730,ZrTaPb,half,"[[2.88779385, 2.88779385, 0.0], [-2.88779385, 2.88779385, -0.0], [-0.0, -0.0, 9.14908449]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[40, 40, 73, 73, 82, 82]","[[2.88779385, 2.88779385, 0.0], [-2.88779385, 2.88779385, -0.0], [-0.0, -0.0, 9.14908449]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[40, 40, 73, 73, 82, 82]",Pb2Ta2Zr2,"[[2.8571382539800547, 2.8571382539800547, 9.177850557546272e-29], [-2.857138253980055, 2.857138253980055, 9.177850557546295e-29], [1.9176996158165334e-43, 2.9784245622708455e-28, 9.361448379794325]]","[[0.4999999999999997, -3.810864117483656e-17, 0.24999999999999994], [1.2921801550008762e-16, 0.4999999999999998, 0.7499999999999997], [7.792859356910478e-17, 7.58528856213374e-17, 0.4999999999999999], [0.49999999999999983, 0.4999999999999997, 8.561015717331452e-46], [3.8445369797610576e-17, 3.844536979761054e-17, 1.0986606837125282e-60], [0.49999999999999983, 0.4999999999999997, 0.4999999999999999]]","[40, 40, 73, 73, 82, 82]",-7.372742970784505,0.6522265540228966,0.810744603474936
31610,Nb2CdSb,full,"[[3.00227906, 3.00227906, 0.0], [-3.00227906, 3.00227906, 0.0], [-0.0, -0.0, 8.78481956]]","[[0.49999999999999983, 3.697934144153663e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.7499999999999999], [0.49999999999999983, 3.697934144153663e-17, 0.7499999999999999], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999983, 0.5]]","[41, 41, 41, 41, 48, 48, 51, 51]","[[3.00227906, 3.00227906, 0.0], [-3.00227906, 3.00227906, 0.0], [-0.0, -0.0, 8.78481956]]","[[0.49999999999999983, 3.697934144153663e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.7499999999999999], [0.49999999999999983, 3.697934144153663e-17, 0.7499999999999999], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999983, 0.5]]","[41, 41, 41, 41, 48, 48, 51, 51]",Cd2Nb4Sb2,"[[2.9390976184686455, 2.939097618468639, 1.195302185109318e-16], [-2.9390976184686455, 2.9390976184686384, 1.195302185109318e-16], [-3.584556807214759e-32, 3.4993267217375677e-16, 9.103806764526006]]","[[0.5000000000000002, -3.718731887990831e-16, 0.25], [0.9999999999999993, 0.49999999999999944, 0.7499999999999999], [0.5000000000000001, -1.418196173561785e-16, 0.7499999999999999], [0.9999999999999993, 0.4999999999999995, 0.25], [-6.594118221247766e-17, 6.594118221247773e-17, 0.5], [0.49999999999999944, 0.5000000000000003, -3.650335739387932e-34], [-1.1093802432460999e-16, 3.6979341441536704e-17, -4.426030485819195e-49], [0.49999999999999933, 0.5000000000000003, 0.5]]","[41, 41, 41, 41, 48, 48, 51, 51]",-6.179481506347656,0.1218036164840068,0.33616135588713975
32290,MoTiSi,half,"[[2.57975268, 2.57975268, 0.0], [-2.57975268, 2.57975268, 0.0], [-0.0, -0.0, 7.81749265]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[42, 42, 22, 22, 14, 14]","[[2.57975268, 2.57975268, 0.0], [-2.57975268, 2.57975268, 0.0], [-0.0, -0.0, 7.81749265]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[42, 42, 22, 22, 14, 14]",Mo2Si2Ti2,"[[2.5389850416082793, 2.538985041608281, 1.2212863792359301e-18], [-2.538985041608279, 2.5389850416082806, 1.2212863792359297e-18], [8.258586244470568e-35, 3.72111501908247e-18, 8.163466470731978]]","[[0.49999999999999994, -2.190344628947604e-18, 0.24999999999999983], [-3.3488047761797226e-17, 0.5000000000000001, 0.7499999999999999], [-8.756373329125923e-17, -8.458036923955495e-17, 0.49999999999999967], [0.49999999999999983, 0.5000000000000001, -8.254401920311607e-35], [7.703719777548937e-33, -1.5095123422102893e-39, 3.183673212837157e-66], [0.49999999999999994, 0.5000000000000001, 0.49999999999999967]]","[42, 42, 22, 22, 14, 14]",-7.934806823730469,0.0989242129855672,0.7408963158017091
32955,Mo2CuSb,full,"[[2.7339315, 2.7339315, -0.0], [-2.7339315, 2.7339315, -0.0], [-0.0, -0.0, 8.63430912]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[42, 42, 42, 42, 29, 29, 51, 51]","[[2.7339315, 2.7339315, -0.0], [-2.7339315, 2.7339315, -0.0], [-0.0, -0.0, 8.63430912]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[42, 42, 42, 42, 29, 29, 51, 51]",Cu2Mo4Sb2,"[[2.7324325827071387, 2.732432582707139, -1.8140215889192634e-18], [-2.7324325827071383, 2.7324325827071387, -1.814021588919263e-18], [4.789648097862728e-34, -5.732792709276658e-18, 8.60358361808888]]","[[0.5, 2.5452709927352294e-17, 0.24999999999999994], [1.65462171104174e-16, 0.5000000000000001, 0.7499999999999993], [0.49999999999999994, 5.37327991893158e-17, 0.7499999999999993], [1.371820818422105e-16, 0.5000000000000001, 0.24999999999999994], [1.0794414869207422e-16, 5.4491965691209505e-17, 0.4999999999999999], [0.5000000000000001, 0.5000000000000001, 5.327136378260342e-35], [8.121805719164187e-17, 8.599219402684139e-33, 8.307836400871889e-51], [0.5000000000000001, 0.5000000000000001, 0.4999999999999999]]","[42, 42, 42, 42, 29, 29, 51, 51]",-7.20463228225708,0.2695039113362636,0.27711173466273786
33335,Mo2RuAl,full,"[[2.59733454, 2.59733454, -0.0], [-2.59733454, 2.59733454, -0.0], [-0.0, -0.0, 8.82218211]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[42, 42, 42, 42, 44, 44, 13, 13]","[[2.59733454, 2.59733454, -0.0], [-2.59733454, 2.59733454, -0.0], [-0.0, -0.0, 8.82218211]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[42, 42, 42, 42, 44, 44, 13, 13]",Al2Mo4Ru2,"[[2.6293564669622422, 2.6293564669622427, -1.5808479358900894e-18], [-2.629356466962242, 2.6293564669622422, -1.5808479358909334e-18], [-3.608561970717329e-32, -5.341499313621549e-18, 8.761275573506301]]","[[0.5, 5.358564177743785e-17, 0.25000000000000006], [-6.11099241226074e-17, 0.4999999999999999, 0.7500000000000001], [0.5000000000000001, 2.633793751557337e-17, 0.7500000000000001], [-6.106644245114025e-18, 0.49999999999999983, 0.25000000000000006], [1.0184114170973879e-16, -1.0184114170973872e-16, 0.5000000000000002], [0.4999999999999999, 0.49999999999999994, -1.0067559347855323e-16], [1.282341193474242e-16, -4.274470644914137e-17, -1.0067559347855332e-16], [0.49999999999999983, 0.49999999999999994, 0.5000000000000002]]","[42, 42, 42, 42, 44, 44, 13, 13]",-8.824299812316895,-0.1543335914611816,0.18855738639831546
34221,Ru2ScAl,full,"[[0.0, 3.11022593, 3.11022593], [3.11022593, -0.0, 3.11022593], [3.11022593, 3.11022593, -0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[44, 44, 21, 13]","[[0.0, 3.11022593, 3.11022593], [3.11022593, -0.0, 3.11022593], [3.11022593, 3.11022593, -0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[44, 44, 21, 13]",AlRu2Sc,"[[-5.826803579631038e-20, 3.114326601040637, 3.114326601040637], [3.114326601040637, -3.567489169525925e-19, 3.114326601040637], [3.114326601040637, 3.114326601040637, 7.016441007544073e-19]]","[[0.2500000000000001, 0.2500000000000001, 0.24999999999999953], [0.7500000000000008, 0.75, 0.75], [0.5000000000000002, 0.5000000000000002, 0.49999999999999906], [1.4278358545164044e-16, 1.2733435214436362e-33, -1.2733435214436362e-33]]","[44, 44, 21, 13]",-7.726866722106934,-0.5973693132400513,0.02962183952331532
34360,Ru2VSn,inverse,"[[2.67960816, 2.67960816, 0.0], [-2.67960816, 2.67960816, -0.0], [0.0, -0.0, 8.50923249]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[44, 44, 44, 44, 23, 23, 50, 50]","[[2.67960816, 2.67960816, 0.0], [-2.67960816, 2.67960816, -0.0], [0.0, -0.0, 8.50923249]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[44, 44, 44, 44, 23, 23, 50, 50]",Ru4Sn2V2,"[[2.7048919531972655, 2.704891953197265, 3.506136349778019e-30], [-2.7048919531972646, 2.7048919531972646, 3.5061363497780485e-30], [-6.723210866227587e-45, 1.0971097717133289e-29, 8.449162831063044]]","[[0.5000000000000004, -4.2881675779640307e-16, 0.25], [2.507690070816779e-15, 0.5000000000000014, 0.7499999999999991], [2.6264696579612824e-17, -2.6264696579613005e-17, 0.5], [0.5000000000000023, 0.5000000000000016, -1.5753026056414123e-45], [0.5000000000000003, -3.1779445533388845e-16, 0.7499999999999991], [2.4521789195855224e-15, 0.5000000000000016, 0.25], [4.143229003397091e-17, -4.143229003397124e-17, 1.3163569647880847e-61], [0.5000000000000023, 0.5000000000000016, 0.5]]","[44, 44, 44, 44, 23, 23, 50, 50]",-7.9844207763671875,-0.0926319360733032,0.10782137371244768
34521,RuMnSb,half,"[[3.03962289, 3.03962289, 0.0], [-3.03962289, 3.03962289, 0.0], [0.0, 0.0, 6.1045807]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[44, 44, 25, 25, 51, 51]","[[3.03962289, 3.03962289, 0.0], [-3.03962289, 3.03962289, 0.0], [0.0, 0.0, 6.1045807]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[44, 44, 25, 25, 51, 51]",Mn2Ru2Sb2,"[[3.0337704755086072, 3.0337704755086072, -3.201067279858596e-21], [-3.0337704755086072, 3.0337704755086072, -3.201067279858596e-21], [4.271376856995941e-40, -6.443668332144414e-21, 6.067453621837306]]","[[0.4999999999999998, 2.1631898798722652e-16, 0.25], [-1.7862675532476957e-16, 0.49999999999999967, 0.7500000000000003], [1.473489807188969e-16, -1.2488801731800502e-18, 0.5], [0.49999999999999933, 0.5000000000000001, -5.8261357759541115e-37], [1.0957507540928772e-16, -3.65250251364292e-17, 3.5076021091866267e-53], [0.49999999999999933, 0.5000000000000001, 0.5]]","[44, 44, 25, 25, 51, 51]",-7.491096496582031,0.0071724931855783,0.1604473070166592
37279,RhCdPb,half,"[[3.25014766, 3.25014766, -0.0], [-3.25014766, 3.25014766, -0.0], [0.0, 0.0, 6.47951169]]","[[0.49999999999999983, 2.7755575615628904e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.7500000000000002], [0.0, 0.0, 0.5], [0.4999999999999998, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.4999999999999998, 0.49999999999999983, 0.5]]","[45, 45, 48, 48, 82, 82]","[[3.25014766, 3.25014766, -0.0], [-3.25014766, 3.25014766, -0.0], [0.0, 0.0, 6.47951169]]","[[0.49999999999999983, 2.7755575615628904e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.7500000000000002], [0.0, 0.0, 0.5], [0.4999999999999998, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.4999999999999998, 0.49999999999999983, 0.5]]","[45, 45, 48, 48, 82, 82]",Cd2Pb2Rh2,"[[3.2612869464302623, 3.2612869464302623, -9.683516943463895e-31], [-3.261286946430262, 3.2612869464302614, -9.683516943461631e-31], [3.752262918727504e-44, -1.8090606124476846e-30, 6.5226421805512125]]","[[0.49999999999999994, 1.0336895351341027e-18, 0.24999999999999997], [0.9999999999999978, 0.4999999999999984, 0.7500000000000003], [-1.0844375166465598e-16, 2.81928742079247e-17, 0.49999999999999994], [0.49999999999999806, 0.4999999999999995, -6.853745021178633e-17], [-1.0844375166465597e-16, 2.819287420792471e-17, -6.85374502117863e-17], [0.49999999999999806, 0.4999999999999995, 0.5000000000000001]]","[45, 45, 48, 48, 82, 82]",-4.034305572509766,-0.0560154716173806,0.05894173516167528
38163,PdMnAs,half,"[[2.99352684, 2.99352684, 0.0], [-2.99352684, 2.99352684, 0.0], [-0.0, -0.0, 5.988847]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[46, 46, 25, 25, 33, 33]","[[2.99352684, 2.99352684, 0.0], [-2.99352684, 2.99352684, 0.0], [-0.0, -0.0, 5.988847]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[46, 46, 25, 25, 33, 33]",As2Mn2Pd2,"[[2.999438777109502, 2.999438777109502, -7.739650305762386e-21], [-2.999438777109502, 2.999438777109502, -7.739650305777273e-21], [3.2870480323643e-32, -1.5479300579346112e-20, 5.998877506320622]]","[[0.5, -1.0123691226157832e-16, 0.25000000000000006], [-5.824015104337958e-16, 0.4999999999999998, 0.7500000000000008], [-1.483350236102463e-16, 1.504964435767308e-32, 0.5000000000000001], [0.4999999999999992, 0.4999999999999999, 3.7083755902561583e-17], [-1.4833502361024626e-16, 4.3785947599754034e-32, 3.708375590256155e-17], [0.4999999999999992, 0.4999999999999999, 0.5000000000000001]]","[46, 46, 25, 25, 33, 33]",-6.553872426350911,-0.2249411330825967,0.06585464477539213
38511,PdCuBi,half,"[[-0.0, 3.15088448, 3.15088448], [3.15088448, 0.0, 3.15088448], [3.15088448, 3.15088448, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[46, 29, 83]","[[-0.0, 3.15088448, 3.15088448], [3.15088448, 0.0, 3.15088448], [3.15088448, 3.15088448, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[46, 29, 83]",BiCuPd,"[[2.365789577630207e-19, 3.144608540669729, 3.144608540669729], [3.144608540669729, -2.5797553468432454e-19, 3.144608540669729], [3.144608540669729, 3.144608540669729, 1.422219850970138e-18]]","[[0.24999999999999992, 0.25000000000000006, 0.2500000000000001], [0.49999999999999983, 0.5000000000000001, 0.5000000000000002], [-9.842048819050365e-43, -1.5122893309717946e-42, -1.0345880224499563e-42]]","[46, 29, 83]",-4.403436024983724,-0.0276678403218584,0.19210084279378287
39724,PdAuTl,half,"[[3.25653323, 3.25653323, 0.0], [-3.25653323, 3.25653323, 0.0], [-0.0, 0.0, 6.34209843]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[46, 46, 79, 79, 81, 81]","[[3.25653323, 3.25653323, 0.0], [-3.25653323, 3.25653323, 0.0], [-0.0, 0.0, 6.34209843]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[46, 46, 79, 79, 81, 81]",Au2Pd2Tl2,"[[3.2374500365462087, 3.2374500365462087, -5.759126580502741e-30], [-3.2374500365462096, 3.237450036546209, -5.75912658050294e-30], [-1.1428327864079795e-43, -1.1298612464635227e-29, 6.473514318196665]]","[[0.4999999999999994, -8.800498841522186e-16, 0.25000000000000017], [-1.8105911873427442e-16, 0.5, 0.7499999999999999], [-9.936213558550797e-17, 3.700656649282563e-17, 0.5000000000000003], [0.4999999999999993, 0.4999999999999992, -2.164121049019568e-46], [-9.936213558550795e-17, 3.700656649282565e-17, 5.5649596591087665e-62], [0.4999999999999993, 0.4999999999999992, 0.5000000000000003]]","[46, 46, 79, 79, 81, 81]",-3.630335172017415,-0.0258101622263589,0.09713649749755843
39738,Ag2ScSi,full,"[[2.85642646, 2.85642646, -0.0], [-2.85642646, 2.85642646, -0.0], [0.0, 0.0, 8.85259201]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 47, 47, 21, 21, 14, 14]","[[2.85642646, 2.85642646, -0.0], [-2.85642646, 2.85642646, -0.0], [0.0, 0.0, 8.85259201]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 47, 47, 21, 21, 14, 14]",Ag4Sc2Si2,"[[2.7967875656811034, 2.796787565681106, 4.044129752477727e-19], [-2.7967875656811034, 2.7967875656811065, 4.0441297524773097e-19], [-1.0582667035183511e-31, 1.3631951198677273e-18, 9.428831593076083]]","[[0.5000000000000001, -8.31153747174546e-17, 0.2499999999999999], [-1.6974034048729665e-16, 0.5000000000000013, 0.749999999999999], [0.5000000000000001, -8.323722836989101e-17, 0.749999999999999], [-1.6961848683486028e-16, 0.5000000000000013, 0.2499999999999999], [-5.4408354991038546e-17, 5.440835499103868e-17, 0.4999999999999998], [0.5000000000000001, 0.5000000000000012, -1.230767772786567e-35], [-7.773510294573842e-17, -2.4940018063111604e-32, 1.2421078389905766e-52], [0.5000000000000001, 0.5000000000000012, 0.4999999999999998]]","[47, 47, 47, 47, 21, 21, 14, 14]",-4.553308486938477,-0.2164457241694135,0.21155079205830868
